measure_number	beat	offset	duration	notes
0	2.5	0.0	1.0	('D2', 'D3', 'D4')
1	1.0	1.0	1.0	('C#2', 'C#4')
1	1.5	2.0	1.0	('B1', 'B3')
1	2.0	3.0	1.0	('A1', 'A3')
1	2.5	4.0	1.0	('C#2', 'C#4')
2	1.0	5.0	1.0	('D2', 'D4')
2	1.5	6.0	1.0	('F#2', 'F#4')
2	2.0	7.0	1.0	('A1', 'A2', 'A3', 'A4')
2	2.5	8.0	1.0	('C#2', 'C#3', 'C#4', 'C#5')
3	1.0	9.0	1.0	('D2', 'D3', 'D4', 'D5')
3	1.5	10.0	1.0	('E2', 'E3', 'E4', 'E5')
3	2.0	11.0	1.0	('F#2', 'F#3', 'F#4', 'F#5')
3	2.5	12.0	1.0	('G2', 'G3', 'G4', 'G5')
4	1.0	13.0	3.0	('A2', 'A3', 'A4', 'A5')
4	2.5	16.0	1.0	('F#4', 'A4', 'D5')
5	1.0	17.0	1.0	('E4', 'G4', 'C#5')
5	1.5	18.0	1.0	('D4', 'F#4', 'B4')
5	2.0	19.0	1.0	('C#4', 'E4', 'A4')
5	2.5	20.0	1.0	('D4', 'F#4', 'B4', 'A5')
6	1.0	21.0	1.0	('C#4', 'E4', 'A4', 'A5')
6	1.5	22.0	1.0	('B3', 'D4', 'G4', 'A5')
6	2.0	23.0	1.0	('A3', 'C#4', 'F#4', 'A5')
6	2.5	24.0	1.0	('B3', 'D4', 'G4')
7	1.0	25.0	1.0	('A3', 'C#4', 'F#4')
7	1.5	26.0	1.0	('G3', 'B3', 'E4')
7	2.0	27.0	1.0	('F#3', 'A3', 'D4')
7	2.5	28.0	1.0	('G3', 'B3', 'E4', 'D5')
8	1.0	29.0	1.0	('F#3', 'A3', 'D4', 'D5')
8	1.5	30.0	1.0	('E3', 'G3', 'C#4', 'C#5')
8	2.0	31.0	1.0	('D3', 'F#3', 'D4', 'D5')
8	2.5	32.0	1.0	('D#4', 'D#5')
9	1.0	33.0	1.0	('G2', 'G3', 'D#4', 'D#5')
9	1.5	34.0	1.0	('E4', 'E5')
9	2.0	35.0	1.0	('A2', 'A3', 'G4', 'C#5')
9	2.5	36.0	1.0	('A4',)
10	1.0	37.0	1.0	('D2', 'D3', 'F#4', 'D5')
10	2.5	40.0	0.5	('F#5',)
10	2.75	40.5	0.5	('D6',)
11	1.0	41.0	0.5	('E5',)
11	1.25	41.5	0.5	('C#6',)
11	1.5	42.0	0.5	('D5',)
11	1.75	42.5	0.5	('B5',)
11	2.0	43.0	0.5	('C#5',)
11	2.25	43.5	0.5	('A5',)
11	2.5	44.0	0.5	('A1', 'A2', 'D5')
11	2.75	44.5	0.5	('A1', 'A2', 'B5')
12	1.0	45.0	0.5	('A1', 'A2', 'C#5')
12	1.25	45.5	0.5	('A1', 'A2', 'A5')
12	1.5	46.0	0.5	('A1', 'A2', 'B4')
12	1.75	46.5	0.5	('A1', 'A2', 'G5')
12	2.0	47.0	0.5	('A1', 'A2', 'A4')
12	2.25	47.5	0.5	('A1', 'A2', 'F#5')
12	2.5	48.0	0.5	('A1', 'A2', 'B4')
12	2.75	48.5	0.5	('A1', 'A2', 'G5')
13	1.0	49.0	0.5	('A1', 'A2', 'A4')
13	1.25	49.5	0.5	('A1', 'A2', 'F#5')
13	1.5	50.0	0.5	('A1', 'A2', 'G4')
13	1.75	50.5	0.5	('A1', 'A2', 'E5')
13	2.0	51.0	0.5	('A1', 'A2', 'F#4')
13	2.25	51.5	0.5	('A1', 'A2', 'D5')
13	2.5	52.0	0.5	('A#1', 'A#2', 'G4')
13	2.75	52.5	0.5	('A#1', 'A#2', 'E5')
14	1.0	53.0	0.5	('B1', 'B2', 'F#4')
14	1.25	53.5	0.5	('B1', 'B2', 'D5')
14	1.5	54.0	0.5	('A1', 'A2', 'F#4')
14	1.75	54.5	0.5	('A1', 'A2', 'D#5')
14	2.0	55.0	0.5	('G1', 'G2', 'G4')
14	2.25	55.5	0.5	('G1', 'G2', 'E5')
14	2.5	56.0	0.5	('F#1', 'F#2', 'A4')
14	2.75	56.5	0.5	('F#1', 'F#2', 'F#5')
15	1.0	57.0	0.5	('E1', 'E2', 'B4')
15	1.25	57.5	0.5	('E1', 'E2', 'G5')
15	1.5	58.0	0.5	('F#5',)
15	1.75	58.5	0.5	('A5',)
15	2.0	59.0	0.5	('A1', 'A2', 'G5')
15	2.25	59.5	0.5	('A1', 'A2', 'B5')
15	2.5	60.0	1.0	('E4', 'G4', 'C#5')
16	1.0	61.0	1.0	('D2', 'D3', 'D4', 'F#4', 'D5')
16	2.5	64.0	0.5	('D2',)
16	2.75	64.5	0.5	('D2', 'D3', 'D4')
17	1.0	65.0	0.5	('C#2',)
17	1.25	65.5	0.5	('C#2', 'C#3', 'C#4')
17	1.5	66.0	0.5	('B1',)
17	1.75	66.5	0.5	('B1', 'B3')
17	2.0	67.0	0.5	('A1',)
17	2.25	67.5	0.5	('A1', 'A3')
17	2.5	68.0	0.5	('C#2',)
17	2.75	68.5	0.5	('C#2', 'C#3', 'C#4')
18	1.0	69.0	0.5	('D2',)
18	1.25	69.5	0.5	('D2', 'D3', 'D4')
18	1.5	70.0	0.5	('F#2',)
18	1.75	70.5	0.5	('F#2', 'F#3', 'F#4')
18	2.0	71.0	0.5	('A1', 'A2')
18	2.25	71.5	0.5	('A1', 'A2', 'A3', 'A4')
18	2.5	72.0	0.5	('C#2', 'C#3')
18	2.75	72.5	0.5	('C#2', 'C#3', 'C#4', 'C#5')
19	1.0	73.0	0.5	('D2', 'D3')
19	1.25	73.5	0.5	('D2', 'D3', 'D4', 'D5')
19	1.5	74.0	0.5	('E2', 'E3')
19	1.75	74.5	0.5	('E2', 'E3', 'E4', 'E5')
19	2.0	75.0	0.5	('F#2', 'F#3')
19	2.25	75.5	0.5	('F#2', 'F#3', 'F#4', 'F#5')
19	2.5	76.0	0.5	('G2', 'G3')
19	2.75	76.5	0.5	('G2', 'G3', 'G4', 'G5')
20	1.0	77.0	0.5	('A2', 'A3')
20	1.25	77.5	0.5	('A2', 'A3', 'A4', 'A5')
20	1.5	78.0	0.5	('A#2', 'A#3')
20	1.75	78.5	0.5	('A#2', 'A#3', 'A#4', 'A#5')
20	2.0	79.0	0.5	('B2', 'B3')
20	2.25	79.5	0.5	('B2', 'B3', 'B4', 'B5')
20	2.5	80.0	0.5	('C#3', 'C#4')
20	2.75	80.5	0.5	('C#3', 'C#4', 'C#5', 'C#6')
21	1.0	81.0	1.0	('D3', 'D4', 'D5', 'D6')
21	2.0	83.0	1.0	('E3', 'E4', 'E5', 'E6')
22	1.0	85.0	3.0	('F#3', 'F#4', 'F#5', 'F#6')
22	2.5	88.0	1.0	('F#4',)
23	1.0	89.0	0.5	('B2', 'D5')
23	1.25	89.5	0.5	('D3', 'D5')
23	1.5	90.0	0.5	('F#3', 'D5')
23	1.75	90.5	0.5	('B3', 'D5')
23	2.0	91.0	0.5	('A#2', 'F#5')
23	2.25	91.5	0.5	('E3', 'F#5')
23	2.5	92.0	0.5	('F#3', 'F#5')
23	2.75	92.5	0.5	('C#4', 'F#5')
24	1.0	93.0	0.5	('B2', 'D5')
