measure_number	beat	offset	duration	notes
1	1.0	0.0	1.0	('E-4', 'G4')
1	2.0	1.0	1.0	('B-3', 'F4')
2	1.0	2.0	1.5	('C2', 'C3', 'G3', 'E-4')
2	2.5	3.5	0.375	('C3', 'E-3', 'E-4')
2	2.875	3.875	0.125	('C3', 'E-3', 'A-4')
3	1.0	4.0	0.5	('B-2', 'E3', 'G4')
3	1.5	4.5	0.375	('B-2', 'E3', 'G4')
3	1.875	4.875	0.125	('B-2', 'E3', 'D-5')
3	2.0	5.0	0.5	('A2', 'F3', 'C5')
3	2.5	5.5	0.125	('A-2', 'F#3', 'C5')
3	2.625	5.625	1/24	('A-2', 'F#3', 'C5', 'D5')
3	8/3	17/3	1/24	('A-2', 'F#3', 'C5')
3	65/24	137/24	1/24	('A-2', 'F#3', 'B4', 'C5')
3	2.75	5.75	0.125	('A-2', 'F#3', 'C5')
3	2.875	5.875	0.125	('A-2', 'F#3', 'D5')
4	1.0	6.0	0.5	('G2', 'G3', 'E-4', 'E-5')
4	1.5	6.5	0.25	('G2', 'A3', 'E-4', 'F#4', 'E-5')
4	1.75	6.75	0.25	('G2', 'A3', 'E-4', 'F#4', 'C5')
4	2.0	7.0	0.5	('G2', 'B3', 'D4', 'G4', 'B4')
4	2.5	7.5	0.25	('G5',)
4	2.75	7.75	0.25	('E-6',)
5	1.0	8.0	0.5	('G3', 'G4', 'E-5', 'E-6')
5	1.5	8.5	0.25	('G3', 'A4', 'E-5', 'F#5', 'E-6')
5	1.75	8.75	0.25	('G3', 'A4', 'E-5', 'F#5', 'C6')
5	2.0	9.0	0.5	('G3', 'B4', 'D5', 'G5', 'B5')
5	2.5	9.5	0.5	('G4', 'B-4', 'D5', 'G5', 'B-5')
6	1.0	10.0	0.5	('F4', 'A-4', 'B-4', 'D5', 'B-5')
6	1.5	10.5	0.5	('E-4', 'G4', 'B-4', 'E-5', 'B-5')
6	2.0	11.0	1/6	('D4', 'F4', 'B-4', 'F5', 'B-5')
6	13/6	67/6	1/12	('D4', 'F4', 'B-4', 'F5')
6	2.25	11.25	1/12	('D4', 'F4', 'B-4')
6	7/3	34/3	1/6	('D4', 'F4', 'B-4', 'C5')
6	2.5	11.5	1/6	('B-3', 'D4', 'A4')
6	8/3	35/3	1/6	('B-3', 'D4', 'B-4')
6	17/6	71/6	1/6	('B-3', 'D4', 'A-4')
7	1.0	12.0	1.0	('B-3', 'D-4', 'E4', 'G4')
7	2.0	13.0	1.0	('B-1', 'B-2', 'A-3', 'D4', 'F4')
8	1.0	14.0	1.5	('C-2', 'C-3', 'G-3', 'E-4')
8	2.5	15.5	0.375	('C-3', 'G-3', 'E-4', 'G-4')
8	2.875	15.875	0.125	('C-3', 'G-3', 'E-4', 'C-5')
9	1.0	16.0	0.5	('D-3', 'G-3', 'F-4', 'C-5')
9	1.5	16.5	0.375	('D-3', 'G-3', 'F-4', 'B-4')
9	1.875	16.875	0.125	('D-3', 'G-3', 'F-4', 'F-5')
9	2.0	17.0	0.5	('C-3', 'G-3', 'E-4', 'E-5')
9	2.5	17.5	0.125	('B-2', 'G-3', 'E-5')
9	2.625	17.625	1/24	('B-2', 'G-3', 'E-5', 'F5')
9	8/3	53/3	1/24	('B-2', 'G-3', 'E-5')
9	65/24	425/24	1/24	('B-2', 'G-3', 'D5', 'E-5')
9	2.75	17.75	0.125	('B-2', 'G-3', 'E-5')
9	2.875	17.875	0.125	('B-2', 'G-3', 'F5')
10	1.0	18.0	0.5	('A2', 'G-3', 'C5', 'G-5')
10	1.5	18.5	0.25	('A2', 'F3', 'C5', 'G-5')
10	1.75	18.75	0.25	('A2', 'F3', 'C5', 'E-5')
10	2.0	19.0	0.5	('B-2', 'F3', 'B-4', 'D5')
10	2.5	19.5	0.125	('A-2', 'F-3', 'B-4', 'D-5')
10	2.625	19.625	1/24	('A-2', 'F-3', 'B-4', 'D-5', 'E-5')
10	8/3	59/3	1/24	('A-2', 'F-3', 'B-4', 'D-5')
10	65/24	473/24	1/24	('A-2', 'F-3', 'B-4', 'C5', 'D-5')
10	2.75	19.75	0.125	('A-2', 'F-3', 'B-4', 'D-5')
10	2.875	19.875	0.125	('A-2', 'F-3', 'B-4', 'E-5')
11	1.0	20.0	0.5	('G2', 'F-3', 'B-4', 'F-5')
11	1.5	20.5	0.25	('G2', 'E-3', 'B-4', 'F-5')
11	1.75	20.75	0.125	('G2', 'E-3', 'B-4', 'E-5')
11	1.875	20.875	0.125	('G2', 'E-3', 'B-4', 'D-5')
11	2.0	21.0	0.5	('A-2', 'E-3', 'A-4', 'C-5')
11	2.5	21.5	0.5	('G-2', 'B-2', 'G-3', 'E-4', 'B-4', 'E-5')
12	1.0	22.0	0.5	('F2', 'B-2', 'F3', 'D4', 'A-4', 'B-4', 'D5')
12	2.25	23.25	0.25	('F2', 'B-2', 'F3', 'D4', 'A-4', 'B-4', 'D5')
12	2.5	23.5	0.25	('E-2', 'B-2', 'E-3', 'E-4', 'G-4', 'B-4', 'E-5')
12	2.75	23.75	0.25	('E-2', 'B-2', 'E-3', 'E-4', 'G-4', 'B-4', 'E-5')
13	1.0	24.0	0.5	('D2', 'B-2', 'D3', 'F4', 'B-4', 'F5')
13	2.25	25.25	0.25	('F4', 'A-4', 'B-4', 'D5')
13	2.5	25.5	0.25	('E-4', 'G-4', 'B-4', 'E-5')
13	2.75	25.75	0.25	('E-4', 'G-4', 'B-4', 'E-5')
14	1.0	26.0	0.5	('D4', 'F4', 'B-4', 'F5')
14	2.25	27.25	0.25	('D4', 'F4', 'B-4', 'F5')
