measure_number	beat	offset	duration	notes
0	4.0	0.0	1.0	('D2', 'D3', 'D4')
1	1.0	1.0	1.0	('C#2', 'C#4')
1	2.0	2.0	1.0	('B1', 'B3')
1	3.0	3.0	1.0	('A1', 'A3')
1	4.0	4.0	1.0	('C#2', 'C#4')
2	1.0	5.0	1.0	('D2', 'D4')
2	2.0	6.0	1.0	('F#2', 'F#4')
2	3.0	7.0	1.0	('A1', 'A2', 'A3', 'A4')
2	4.0	8.0	1.0	('C#2', 'C#3', 'C#4', 'C#5')
3	1.0	9.0	1.0	('D2', 'D3', 'D4', 'D5')
3	2.0	10.0	1.0	('E2', 'E3', 'E4', 'E5')
3	3.0	11.0	1.0	('F#2', 'F#3', 'F#4', 'F#5')
3	4.0	12.0	1.0	('G2', 'G3', 'G4', 'G5')
4	1.0	13.0	3.0	('A2', 'A3', 'A4', 'A5')
4	4.0	16.0	1.0	('F#4', 'A4', 'D5')
5	1.0	17.0	1.0	('E4', 'G4', 'C#5')
5	2.0	18.0	1.0	('D4', 'F#4', 'B4')
5	3.0	19.0	1.0	('C#4', 'E4', 'A4')
5	4.0	20.0	1.0	('D4', 'F#4', 'B4', 'A5')
6	1.0	21.0	1.0	('C#4', 'E4', 'A4', 'A5')
6	2.0	22.0	1.0	('B3', 'D4', 'G4', 'A5')
6	3.0	23.0	1.0	('A3', 'C#4', 'F#4', 'A5')
6	4.0	24.0	1.0	('B3', 'D4', 'G4')
7	1.0	25.0	1.0	('A3', 'C#4', 'F#4')
7	2.0	26.0	1.0	('G3', 'B3', 'E4')
7	3.0	27.0	1.0	('F#3', 'A3', 'D4')
7	4.0	28.0	1.0	('G3', 'B3', 'E4', 'D5')
8	1.0	29.0	1.0	('F#3', 'A3', 'D4', 'D5')
8	2.0	30.0	1.0	('E3', 'G3', 'C#4', 'C#5')
8	3.0	31.0	1.0	('D3', 'F#3', 'D4', 'D5')
8	4.0	32.0	1.0	('D#4', 'D#5')
9	1.0	33.0	1.0	('G2', 'G3', 'D#4', 'D#5')
9	2.0	34.0	1.0	('E4', 'E5')
9	3.0	35.0	1.0	('A2', 'A3', 'G4', 'C#5')
9	4.0	36.0	1.0	('A4',)
10	1.0	37.0	1.0	('D2', 'D3', 'F#4', 'D5')
10	4.0	40.0	0.5	('F#5',)
10	4.5	40.5	0.5	('D6',)
11	1.0	41.0	0.5	('E5',)
11	1.5	41.5	0.5	('C#6',)
11	2.0	42.0	0.5	('D5',)
11	2.5	42.5	0.5	('B5',)
11	3.0	43.0	0.5	('C#5',)
11	3.5	43.5	0.5	('A5',)
11	4.0	44.0	0.5	('A1', 'A2', 'D5')
11	4.5	44.5	0.5	('A1', 'A2', 'B5')
12	1.0	45.0	0.5	('A1', 'A2', 'C#5')
12	1.5	45.5	0.5	('A1', 'A2', 'A5')
12	2.0	46.0	0.5	('A1', 'A2', 'B4')
12	2.5	46.5	0.5	('A1', 'A2', 'G5')
12	3.0	47.0	0.5	('A1', 'A2', 'A4')
12	3.5	47.5	0.5	('A1', 'A2', 'F#5')
12	4.0	48.0	0.5	('A1', 'A2', 'B4')
12	4.5	48.5	0.5	('A1', 'A2', 'G5')
13	1.0	49.0	0.5	('A1', 'A2', 'A4')
13	1.5	49.5	0.5	('A1', 'A2', 'F#5')
13	2.0	50.0	0.5	('A1', 'A2', 'G4')
13	2.5	50.5	0.5	('A1', 'A2', 'E5')
13	3.0	51.0	0.5	('A1', 'A2', 'F#4')
13	3.5	51.5	0.5	('A1', 'A2', 'D5')
13	4.0	52.0	0.5	('A#1', 'A#2', 'G4')
13	4.5	52.5	0.5	('A#1', 'A#2', 'E5')
14	1.0	53.0	0.5	('B1', 'B2', 'F#4')
14	1.5	53.5	0.5	('B1', 'B2', 'D5')
14	2.0	54.0	0.5	('A1', 'A2', 'F#4')
