measure_number	beat	offset	duration	notes
0	4.0	0.0	1.0	('C2', 'C4')
0	14/3	1.0	0.25	('C2', 'C4')
0	29/6	1.25	0.25	('A-1', 'A-3')
1	1.0	1.5	3.0	('F1', 'F3')
1	3.0	4.5	1.5	('F1', 'F3')
1	4.0	6.0	1.0	('A-1', 'A-3')
1	14/3	7.0	0.25	('A-1', 'A-3')
1	29/6	7.25	0.25	('C2', 'C4')
2	1.0	7.5	1.5	('F2', 'F4')
2	2.0	9.0	1.0	('A-2', 'A-4')
2	8/3	10.0	0.25	('A-2', 'A-4')
2	17/6	10.25	0.25	('C3', 'C5')
2	3.0	10.5	1.5	('F3', 'F5')
2	4.0	12.0	1.5	('A-3', 'F4')
3	1.0	13.5	1/120	('C5',)
3	181/180	1621/120	179/120	('E3', 'G3', 'C4', 'C5')
3	2.0	15.0	1.0	('E3', 'G3', 'C4', 'C5')
3	8/3	16.0	0.5	('E3', 'G3', 'C4', 'D5')
3	3.0	16.5	1/120	('E3', 'G3', 'C4', 'C5', 'D5')
3	541/180	1981/120	19/120	('F3', 'A-3', 'B3', 'C5', 'D5')
3	28/9	50/3	1/6	('F3', 'A-3', 'B3', 'D5')
3	29/9	101/6	1/6	('F3', 'A-3', 'B3', 'D5', 'E5')
3	10/3	17.0	1/6	('F3', 'A-3', 'B3', 'D5')
3	31/9	103/6	1/6	('F3', 'A-3', 'B3', 'D5', 'E5')
3	32/9	52/3	1/6	('F3', 'A-3', 'B3', 'D5')
3	11/3	17.5	1/7	('F3', 'A-3', 'B3', 'D5', 'E5')
3	79/21	247/14	1/7	('F3', 'A-3', 'B3', 'D5')
3	27/7	249/14	1/7	('F3', 'A-3', 'B3', 'D5', 'E5')
3	83/21	251/14	1/14	('F3', 'A-3', 'B3', 'D5')
3	4.0	18.0	1/14	('F3', 'A-3', 'B3', 'D5')
3	85/21	253/14	1/7	('F3', 'A-3', 'B3', 'D5', 'E5')
3	29/7	255/14	1/7	('F3', 'A-3', 'B3', 'D5')
3	89/21	257/14	1/7	('F3', 'A-3', 'B3', 'D5', 'E5')
3	13/3	18.5	1/120	('F3', 'A-3', 'B3', 'D5')
3	781/180	2221/120	1/12	('F3', 'A-3', 'B3', 'D5')
3	791/180	2231/120	1/12	('F3', 'A-3', 'B3', 'D5', 'E5')
3	89/20	747/40	3/40	('F3', 'A-3', 'B3', 'D5')
3	4.5	18.75	1/120	('F3', 'A-3', 'B3', 'C5', 'D5')
3	811/180	2251/120	29/120	('F3', 'A-3', 'B3', 'C5')
3	14/3	19.0	0.25	('F3', 'A-3', 'B3', 'E5')
3	29/6	19.25	0.25	('F3', 'A-3', 'B3', 'D5')
3	1.0	19.5	1/120	('F3', 'A-3', 'B3')
4	361/180	2341/120	1.0	('E3', 'G3', 'C4', 'C5')
4	4.0	2881/120	1.0	('D-2', 'D-4')
4	14/3	3001/120	0.25	('D-2', 'D-4')
4	29/6	3031/120	0.25	('B-1', 'B-3')
5	361/180	3061/120	3.0	('G-1', 'G-3')
5	3.0	3421/120	1.5	('G-1', 'G-3')
5	4.0	3601/120	1.0	('B-1', 'B-3')
5	14/3	3721/120	0.25	('B-1', 'B-3')
5	29/6	3751/120	0.25	('D-2', 'D-4')
6	361/180	3781/120	1.5	('G-2', 'G-4')
6	2.0	3961/120	1.0	('B-2', 'B-4')
6	8/3	4081/120	0.25	('B-2', 'B-4')
6	17/6	4111/120	0.25	('D-3', 'D-5')
6	3.0	4141/120	1.5	('G-3', 'G-5')
6	4.0	4321/120	1.5	('B-3', 'G-4')
7	361/180	4501/120	1/120	('D-5',)
7	181/180	2251/60	179/120	('F3', 'A-3', 'D-4', 'D-5')
7	2.0	4681/120	1.0	('F3', 'A-3', 'D-4', 'D-5')
7	8/3	4801/120	0.5	('F3', 'A-3', 'D-4', 'E-5')
7	3.0	4861/120	1/120	('F3', 'A-3', 'D-4', 'D-5', 'E-5')
