measure_number	beat	offset	duration	notes
1	1.0	0.0	2.0	('C#2', 'E2', 'A2', 'C#3', 'E3', 'A3')
1	3.0	2.0	1.0	('C#2', 'E2', 'A2', 'C#4')
1	4.0	3.0	1.0	('C#2', 'E2', 'A2', 'E4')
2	1.0	4.0	3.0	('C#2', 'E2', 'A2', 'A4')
2	4.0	7.0	0.5	('C#3', 'A3', 'A4')
2	4.5	7.5	0.5	('C#3', 'A3', 'G4')
3	1.0	8.0	0.5	('D3', 'A3', 'G4')
3	1.5	8.5	0.5	('D3', 'A3', 'F4')
3	2.0	9.0	0.5	('E3', 'A3', 'F4')
3	2.5	9.5	0.5	('E3', 'A3', 'E4')
3	3.0	10.0	0.5	('F3', 'A3', 'E4')
3	3.5	10.5	0.5	('F3', 'A3', 'D4')
3	4.0	11.0	0.5	('C#3', 'A3', 'A4')
3	4.5	11.5	0.5	('C#3', 'A3', 'G4')
4	1.0	12.0	0.5	('D3', 'A3', 'G4')
4	1.5	12.5	0.5	('D3', 'A3', 'F4')
4	2.0	13.0	0.5	('E3', 'A3', 'F4')
4	2.5	13.5	0.5	('E3', 'A3', 'E4')
4	3.0	14.0	0.5	('F3', 'A3', 'E4')
4	3.5	14.5	0.5	('F3', 'A3', 'D4')
4	4.0	15.0	0.5	('F#3', 'D4', 'D5')
4	4.5	15.5	0.5	('F#3', 'D4', 'C5')
5	1.0	16.0	0.5	('G3', 'D4', 'C5')
5	1.5	16.5	0.5	('G3', 'D4', 'B-4')
5	2.0	17.0	0.5	('A3', 'D4', 'B-4')
5	2.5	17.5	0.5	('A3', 'D4', 'A4')
5	3.0	18.0	0.5	('B-3', 'D4', 'A4')
5	3.5	18.5	0.5	('B-3', 'D4', 'G4')
5	4.0	19.0	0.5	('B-3', 'D4', 'G4')
5	4.5	19.5	0.5	('B-3', 'D4', 'G#4')
6	1.0	20.0	1.5	('A3', 'D4', 'F4', 'G#4')
6	2.5	21.5	0.25	('A3', 'D4', 'F4', 'B4')
6	2.75	21.75	0.25	('A3', 'D4', 'F4', 'A4')
6	3.0	22.0	2.0	('A3', 'C#4', 'E4', 'A4')
7	1.0	24.0	2.0	('E2', 'G2', 'C3', 'E3', 'G3', 'C4')
7	3.0	26.0	1.0	('E2', 'G2', 'C3', 'E4')
7	4.0	27.0	1.0	('E2', 'G2', 'C3', 'G4')
8	1.0	28.0	3.0	('E2', 'G2', 'C3', 'C5')
8	4.0	31.0	0.5	('E3', 'C4', 'C5')
8	4.5	31.5	0.5	('E3', 'C4', 'B-4')
9	1.0	32.0	0.5	('F3', 'C4', 'B-4')
9	1.5	32.5	0.5	('F3', 'C4', 'G#4')
9	2.0	33.0	0.5	('G#4',)
9	2.5	33.5	0.5	('A4',)
9	3.0	34.0	0.5	('A4',)
9	3.5	34.5	0.5	('D5',)
9	4.0	35.0	0.5	('F#3', 'D4', 'D5')
9	4.5	35.5	0.5	('F#3', 'D4', 'C5')
10	1.0	36.0	0.5	('G3', 'D4', 'C5')
10	1.5	36.5	0.5	('G3', 'D4', 'A4')
10	2.0	37.0	0.5	('A4',)
10	2.5	37.5	0.5	('B-4',)
10	3.0	38.0	0.5	('B-4',)
10	3.5	38.5	0.5	('E-5',)
10	4.0	39.0	0.5	('G3', 'B-3', 'E-4', 'E-5')
10	4.5	39.5	0.5	('G3', 'B-3', 'E-4', 'D5')
11	1.0	40.0	0.5	('D5',)
11	1.5	40.5	0.5	('C#5',)
11	2.0	41.0	0.5	('G3', 'A3', 'C#4', 'E4', 'C#5')
11	2.5	41.5	0.5	('G3', 'A3', 'C#4', 'E4', 'B-5')
11	3.0	42.0	0.5	('B-5',)
11	3.5	42.5	0.5	('E5',)
11	4.0	43.0	0.5	('G3', 'B-3', 'C#4', 'E4', 'E5')
11	4.5	43.5	0.5	('G3', 'B-3', 'C#4', 'E4', 'C#6')
12	1.0	44.0	0.5	('C#6',)
12	1.5	44.5	0.5	('F5',)
12	2.0	45.0	0.5	('G#3', 'B3', 'D4', 'F4', 'F5')
12	2.5	45.5	0.5	('G#3', 'B3', 'D4', 'F4', 'D6')
12	3.0	46.0	0.5	('D6',)
12	3.5	46.5	0.5	('F5',)
12	4.0	47.0	0.5	('G#3', 'B3', 'D4', 'F4', 'F5')
12	4.5	47.5	0.5	('G#3', 'B3', 'D4', 'F4', 'F6')
13	1.0	48.0	0.5	('A3', 'D4', 'F4', 'F6')
13	1.5	48.5	0.5	('A3', 'D4', 'F4', 'C#6')
13	2.0	49.0	0.5	('C#6',)
13	2.5	49.5	0.5	('D6',)
13	3.0	50.0	0.5	('D6',)
13	3.5	50.5	0.5	('G#5',)
13	4.0	51.0	0.5	('G#5',)
13	4.5	51.5	0.5	('A5',)
14	1.0	52.0	0.5	('A5',)
14	1.5	52.5	0.5	('E5',)
14	2.0	53.0	0.5	('E5',)
14	2.5	53.5	0.5	('F5',)
14	3.0	54.0	0.5	('F5',)
14	3.5	54.5	0.5	('C#5',)
14	4.0	55.0	0.5	('C#5',)
14	4.5	55.5	0.5	('D5',)
15	1.0	56.0	0.5	('D5',)
15	1.5	56.5	0.5	('G#4',)
15	2.0	57.0	0.5	('G#4',)
15	2.5	57.5	0.5	('A4',)
15	3.0	58.0	0.5	('A4',)
15	3.5	58.5	0.5	('E4',)
15	4.0	59.0	0.5	('E4',)
15	4.5	59.5	0.5	('F4',)
16	1.0	60.0	0.5	('F4',)
16	1.5	60.5	0.5	('C#4',)
16	2.0	61.0	0.5	('C#4',)
16	2.5	61.5	0.5	('D4',)
16	3.0	62.0	0.5	('D4',)
16	3.5	62.5	0.5	('B-3',)
16	4.0	63.0	0.5	('B-2', 'B-3')
16	4.5	63.5	0.5	('A2', 'A3')
17	1.0	64.0	0.5	('A2', 'A3')
17	1.5	64.5	0.5	('C#3', 'C#4')
17	2.0	65.0	0.5	('C#3', 'C#4')
17	2.5	65.5	0.5	('D3', 'D4')
17	3.0	66.0	0.5	('D3', 'D4')
17	3.5	66.5	0.5	('B-2', 'B-3')
17	4.0	67.0	0.5	('B-2', 'B-3')
17	4.5	67.5	0.5	('A2', 'A3')
18	1.0	68.0	0.5	('A2', 'A3')
