measure_number	beat	offset	duration	notes
0	2.75	0.0	0.5	('B-1',)
1	1.0	0.5	1.0	('F3', 'B-3', 'D4')
1	1.5	1.5	0.5	('F3', 'B-3', 'D4')
1	1.75	2.0	0.5	('F3', 'B-3', 'D4', 'D5', 'F5', 'B-5', 'D6')
1	2.0	2.5	1.0	('F3', 'B-3', 'D4', 'D5', 'F5', 'B-5', 'D6')
1	2.5	3.5	0.5	('F3', 'B-3', 'D4', 'D5', 'F5', 'B-5', 'E-6')
1	2.75	4.0	0.5	('F3', 'B-3', 'D4', 'D5', 'F5', 'B-5', 'D6')
2	1.0	4.5	1.0	('F3', 'B-3', 'D4', 'D5', 'F5', 'B-5', 'D6')
2	1.5	5.5	1.0	('D3', 'F3', 'B-3', 'B-4', 'D5', 'F5', 'B-5')
2	2.75	8.0	0.5	('B-1',)
3	1.0	8.5	1.0	('F3', 'B-3', 'D4', 'F4')
3	1.5	9.5	0.5	('F3', 'B-3', 'D4', 'F4')
3	1.75	10.0	0.5	('F3', 'B-3', 'D4', 'F4', 'F5', 'B-5', 'D6', 'F6')
3	2.0	10.5	1.0	('F3', 'B-3', 'D4', 'F4', 'F5', 'B-5', 'D6', 'F6')
3	2.5	11.5	0.5	('F3', 'B-3', 'D4', 'F4', 'F5', 'B-5', 'D6', 'G6')
3	2.75	12.0	0.5	('F3', 'B-3', 'D4', 'F4', 'F5', 'B-5', 'D6', 'F6')
4	1.0	12.5	1.0	('F3', 'B-3', 'D4', 'F4', 'F5', 'B-5', 'D6', 'F6')
4	1.5	13.5	1.0	('F3', 'B-3', 'D4', 'D5', 'F5', 'B-5', 'D6')
4	2.5	15.5	0.5	('B-4',)
4	2.75	16.0	0.5	('C5',)
5	1.0	16.5	1.0	('D5',)
5	1.5	17.5	1.0	('E4', 'G4', 'D5')
5	2.0	18.5	1.0	('F4', 'A4', 'C5')
5	2.5	19.5	0.5	('B3', 'A-4', 'C5')
5	2.75	20.0	0.5	('B3', 'A-4', 'D5')
6	1.0	20.5	1.0	('C4', 'G4', 'E-5')
6	1.5	21.5	1.0	('F#3', 'A4', 'E-5')
6	2.0	22.5	1.0	('G3', 'B-4', 'D5')
6	2.5	23.5	0.5	('E-3', 'G4', 'D5')
6	2.75	24.0	0.5	('E-3', 'G4', 'E-5')
7	1.0	24.5	1.0	('D3', 'F4', 'F5')
7	1.5	25.5	0.5	('D-3', 'B-4', 'F5')
7	1.75	26.0	0.5	('D-3', 'B-4', 'G5')
7	2.0	26.5	0.5	('C3', 'G4', 'F5')
7	2.25	27.0	0.5	('C3', 'G4', 'E-5')
7	2.5	27.5	0.5	('F2', 'A4', 'E-5')
7	2.75	28.0	0.5	('F2', 'A4', 'F5')
8	1.0	28.5	0.5	('B-2', 'F4', 'B-4', 'E-5')
8	1.25	29.0	0.5	('B-2', 'F4', 'B-4', 'D5')
8	1.5	29.5	0.5	('E-2', 'G4', 'C5', 'F5')
8	1.75	30.0	0.5	('E-2', 'G4', 'C5', 'E-5')
8	2.0	30.5	1.0	('F2', 'A4', 'C5')
8	2.5	31.5	0.5	('B-5',)
8	2.75	32.0	0.5	('C6',)
9	1.0	32.5	1.0	('D6',)
9	1.5	33.5	1.0	('E5', 'G5', 'D6')
9	2.25	34.5	1.0	('F5',)
17	1.0	34.5	1.0	('C5', 'B-5', 'D6', 'F6', 'B-6')
9	2.75	35.5	1.0	('B4',)
17	1.5	35.5	1.0	('F#4', 'B-5', 'D6', 'F6', 'B-6')
17	2.0	36.5	1.0	('G4', 'B-4', 'D5', 'B-5')
17	2.5	37.5	1.0	('E-4', 'B-4', 'D5', 'B-5')
18	1.0	38.5	1.0	('D4', 'D5', 'F5', 'D6')
18	1.5	39.5	1.0	('D-4', 'B-4', 'D5', 'B-5')
18	2.0	40.5	1.0	('C4', 'D5', 'F5', 'D6')
18	2.5	41.5	1.0	('F3', 'C5', 'E-5', 'C6')
19	1.0	42.5	1.0	('B-3', 'E-5', 'G5', 'E-6')
19	1.5	43.5	1.0	('G-3', 'E-5', 'G5', 'E-6')
19	2.0	44.5	1.0	('F3', 'C5', 'E-5', 'C6')
19	2.5	45.5	1.0	('E-3', 'C5', 'E-5', 'C6')
20	1.0	46.5	1.0	('D3', 'E-5', 'G5', 'E-6')
20	1.5	47.5	1.0	('D-3', 'C#5', 'E5', 'C#6')
20	2.0	48.5	1.0	('C3', 'E-5', 'G-5', 'E-6')
20	2.5	49.5	1.0	('F2', 'D5', 'F5', 'D6')
21	1.0	50.5	1.0	('B-2', 'F5', 'A-5', 'F6')
21	1.5	51.5	1.0	('G-2', 'F5', 'A-5', 'F6')
21	2.0	52.5	1.0	('F2', 'D5', 'F5', 'D6')
21	2.5	53.5	1.0	('E-2', 'D5', 'F5', 'D6')
22	1.0	54.5	1.0	('D2', 'F5', 'A-5', 'F6')
22	1.5	55.5	1.0	('D-2', 'D5', 'F#5', 'D6')
22	2.0	56.5	1.0	('C2', 'F5', 'A-5', 'F6')
22	2.5	57.5	1.0	('F#1', 'E-5', 'G5', 'E-6')
23	1.0	58.5	1.0	('G1', 'G5', 'B-5', 'G6')
23	1.5	59.5	1.0	('E-2', 'G5', 'B-5', 'G6')
23	2.0	60.5	1.0	('F2', 'E-5', 'G5', 'B-5', 'E-6')
23	2.5	61.5	1.0	('F1', 'F2', 'E-5', 'G5', 'B-5', 'E-6')
24	1.0	62.5	0.5	('B-1', 'B-2', 'G5', 'B-5', 'G6')
24	1.25	63.0	0.5	('F3', 'B-3', 'D4', 'G5', 'B-5', 'G6')
24	1.5	63.5	0.5	('F3', 'B-3', 'D4', 'E5', 'B-5', 'E6')
24	1.75	64.0	0.5	('F3', 'B-3', 'D4', 'E5', 'B-5', 'E6')
24	2.0	64.5	0.5	('G-5', 'B-5', 'G-6')
24	2.25	65.0	0.5	('D3', 'F3', 'B-3', 'G-5', 'B-5', 'G-6')
24	2.5	65.5	0.5	('D3', 'F3', 'B-3', 'F5', 'B-5', 'F6')
24	2.75	66.0	0.5	('D3', 'F3', 'B-3', 'F5', 'B-5', 'F6')
25	1.0	66.5	0.5	('A-5', 'B-5', 'A-6')
25	1.25	67.0	0.5	('F3', 'B-3', 'D4', 'A-5', 'B-5', 'A-6')
25	1.5	67.5	0.5	('F#5', 'B-5', 'F6')
25	1.75	68.0	0.5	('D3', 'F3', 'B-3', 'F#5', 'B-5', 'F6')
25	2.0	68.5	0.5	('A-5', 'B-5', 'A-6')
25	2.25	69.0	0.5	('F3', 'B-3', 'D4', 'A-5', 'B-5', 'A-6')
25	2.5	69.5	0.5	('G5', 'B-5', 'G6')
25	2.75	70.0	0.5	('E-3', 'B-3', 'C4', 'G5', 'B-5', 'G6')
26	1.0	70.5	0.5	('B-1', 'B-2', 'B-5', 'E-6', 'G6', 'B-6')
26	1.25	71.0	0.5	('G3', 'B-3', 'E-4', 'B-5', 'E-6', 'G6', 'B-6')
