measure_number	beat	offset	duration	notes
0	4.875	0.0	0.125	('E-3', 'E-4')
1	1.0	0.125	0.875	('F#2', 'F#3')
1	1.875	1.0	0.125	('F#1', 'F#2', 'E-4', 'A4', 'C5', 'E-5')
1	2.0	1.125	1.0	('F#2', 'F#3', 'E-4', 'A4', 'C5', 'E-5')
1	3.0	2.125	0.875	('F#2', 'F#3', 'E-4', 'A4', 'C5', 'E-5')
1	3.875	3.0	0.125	('F#3', 'E-4', 'A4', 'C5')
1	4.0	3.125	0.75	('F#3', 'E-4', 'A4', 'C5')
1	4.75	3.875	0.125	('F#3', 'E-4', 'A4', 'B4')
1	4.875	4.0	0.125	('F#3', 'E-4', 'A4', 'C5')
2	1.0	4.125	0.5	('G3', 'D4', 'G4', 'B4')
2	2.0	5.125	0.5	('C3', 'G3', 'C4', 'E-4', 'G4', 'C5')
2	3.0	6.125	0.5	('B1', 'D2', 'G2', 'B2', 'D3', 'G3', 'B3', 'D4', 'G4', 'B4', 'D5')
2	4.875	8.0	0.125	('A-3', 'A-4')
3	1.0	8.125	0.875	('B2', 'B3')
3	1.875	9.0	0.125	('B1', 'B2', 'A-4', 'D5', 'F5', 'A-5')
3	2.0	9.125	1.0	('B2', 'B3', 'A-4', 'D5', 'F5', 'A-5')
3	3.0	10.125	0.875	('B2', 'B3', 'A-4', 'D5', 'F5', 'A-5')
3	3.875	11.0	0.125	('B3', 'A-4', 'D5', 'F5')
3	4.0	11.125	0.75	('B3', 'A-4', 'D5', 'F5')
3	4.75	11.875	0.125	('B3', 'A-4', 'D5', 'E5')
3	4.875	12.0	0.125	('B3', 'A-4', 'D5', 'F5')
4	1.0	12.125	0.5	('B-3', 'D-4', 'G4', 'E5')
4	2.0	13.125	0.5	('A-3', 'C4', 'F4', 'C5', 'F5')
4	3.0	14.125	0.5	('E2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4', 'G4', 'C5', 'E5', 'G5')
4	4.875	16.0	0.125	('D-3', 'D-4')
5	1.0	16.125	0.875	('E2', 'E3')
5	1.875	17.0	0.125	('F2', 'F3', 'D-5', 'F5', 'B-5', 'D-6')
