measure_number	beat	offset	duration	notes
0	3.0	0.0	0.75	('C3',)
0	3.75	0.75	0.25	('E3',)
1	1.0	1.0	1.0	('F1', 'F2', 'A2', 'F3')
1	2.0	2.0	0.5	('G1', 'F2', 'B-2', 'F3')
1	2.5	2.5	0.5	('F3',)
1	3.0	3.0	0.75	('C4',)
1	3.75	3.75	0.25	('E4',)
2	1.0	4.0	1.0	('A2', 'F3', 'C4', 'F4')
2	2.0	5.0	0.5	('B-2', 'F3', 'D4', 'F4')
2	2.5	5.5	0.5	('F4',)
2	3.0	6.0	0.75	('C5',)
2	3.75	6.75	0.25	('F5',)
3	1.0	7.0	0.75	('C4', 'F4', 'A5')
3	1.75	7.75	0.25	('C4', 'A4', 'A5')
3	2.0	8.0	0.75	('C4', 'C5', 'A5')
3	2.75	8.75	0.25	('C4', 'A4', 'F5')
3	3.0	9.0	0.75	('C4', 'B-4', 'G5')
3	3.75	9.75	0.25	('C4', 'G4', 'E5')
4	1.0	10.0	1.0	('F4', 'A4', 'F5')
4	3.0	12.0	0.75	('C3',)
4	3.75	12.75	0.25	('E3',)
5	1.0	13.0	1.0	('F1', 'F2', 'A2', 'F3')
5	2.0	14.0	0.5	('G1', 'F2', 'B-2', 'F3')
5	2.5	14.5	0.5	('F3',)
5	3.0	15.0	0.75	('C4',)
5	3.75	15.75	0.25	('E4',)
6	1.0	16.0	1.0	('A2', 'F3', 'C4', 'F4')
6	2.0	17.0	0.5	('B-2', 'F3', 'D4', 'F4')
6	2.5	17.5	0.5	('F4',)
6	3.0	18.0	0.75	('C5',)
6	3.75	18.75	0.25	('F5',)
7	1.0	19.0	0.75	('C4', 'F4', 'A5')
7	1.75	19.75	0.25	('C4', 'A4', 'A5')
7	2.0	20.0	0.75	('C4', 'C5', 'A5')
7	2.75	20.75	0.25	('C4', 'A4', 'F5')
7	3.0	21.0	0.75	('C4', 'B-4', 'G5')
7	3.75	21.75	0.25	('C4', 'G4', 'E5')
8	1.0	22.0	1.0	('F4', 'A4', 'F5')
8	3.0	24.0	0.75	('F3',)
8	3.75	24.75	0.25	('A3',)
9	1.0	25.0	1.0	('F2', 'C#4')
9	2.0	26.0	1.0	('F2', 'B-2', 'D4')
9	3.0	27.0	0.75	('F2', 'G2', 'E3', 'D4')
9	3.75	27.75	0.25	('F2', 'G2', 'E3', 'B3')
10	1.0	28.0	0.75	('F2', 'A2', 'C4')
10	1.75	28.75	0.25	('F2', 'A2', 'A3')
10	2.0	29.0	0.5	('F2', 'A2', 'C3', 'F3')
10	3.0	30.0	0.75	('F4',)
