measure_number	beat	offset	duration	notes
1	1.0	0.0	1/3	('C#2', 'C#3', 'G#3')
1	7/6	1/3	1/3	('C#2', 'C#3', 'C#4')
1	4/3	2/3	1/3	('C#2', 'C#3', 'E4')
1	1.5	1.0	1/3	('C#2', 'C#3', 'G#3')
1	5/3	4/3	1/3	('C#2', 'C#3', 'C#4')
1	11/6	5/3	1/3	('C#2', 'C#3', 'E4')
1	2.0	2.0	1/3	('C#2', 'C#3', 'G#3')
1	13/6	7/3	1/3	('C#2', 'C#3', 'C#4')
1	7/3	8/3	1/3	('C#2', 'C#3', 'E4')
1	2.5	3.0	1/3	('C#2', 'C#3', 'G#3')
1	8/3	10/3	1/3	('C#2', 'C#3', 'C#4')
1	17/6	11/3	1/3	('C#2', 'C#3', 'E4')
2	1.0	4.0	1/3	('B1', 'B2', 'G#3')
2	7/6	13/3	1/3	('B1', 'B2', 'C#4')
2	4/3	14/3	1/3	('B1', 'B2', 'E4')
2	1.5	5.0	1/3	('B1', 'B2', 'G#3')
2	5/3	16/3	1/3	('B1', 'B2', 'C#4')
2	11/6	17/3	1/3	('B1', 'B2', 'E4')
2	2.0	6.0	1/3	('B1', 'B2', 'G#3')
2	13/6	19/3	1/3	('B1', 'B2', 'C#4')
2	7/3	20/3	1/3	('B1', 'B2', 'E4')
2	2.5	7.0	1/3	('B1', 'B2', 'G#3')
2	8/3	22/3	1/3	('B1', 'B2', 'C#4')
2	17/6	23/3	1/3	('B1', 'B2', 'E4')
3	1.0	8.0	1/3	('A1', 'A2', 'A3')
3	7/6	25/3	1/3	('A1', 'A2', 'C#4')
3	4/3	26/3	1/3	('A1', 'A2', 'E4')
3	1.5	9.0	1/3	('A1', 'A2', 'A3')
3	5/3	28/3	1/3	('A1', 'A2', 'C#4')
3	11/6	29/3	1/3	('A1', 'A2', 'E4')
3	2.0	10.0	1/3	('F#1', 'F#2', 'A3')
3	13/6	31/3	1/3	('F#1', 'F#2', 'D4')
3	7/3	32/3	1/3	('F#1', 'F#2', 'F#4')
3	2.5	11.0	1/3	('F#1', 'F#2', 'A3')
3	8/3	34/3	1/3	('F#1', 'F#2', 'D4')
3	17/6	35/3	1/3	('F#1', 'F#2', 'F#4')
4	1.0	12.0	1/3	('G#1', 'G#2', 'G#3')
4	7/6	37/3	1/3	('G#1', 'G#2', 'B#3')
4	4/3	38/3	1/3	('G#1', 'G#2', 'F#4')
4	1.5	13.0	1/3	('G#1', 'G#2', 'G#3')
4	5/3	40/3	1/3	('G#1', 'G#2', 'C#4')
4	11/6	41/3	1/3	('G#1', 'G#2', 'E4')
4	2.0	14.0	1/3	('G#1', 'G#2', 'G#3')
4	13/6	43/3	1/3	('G#1', 'G#2', 'C#4')
4	7/3	44/3	1/3	('G#1', 'G#2', 'D#4')
4	2.5	15.0	1/3	('G#1', 'G#2', 'F#3')
4	8/3	46/3	1/3	('G#1', 'G#2', 'B#3')
4	17/6	47/3	1/3	('G#1', 'G#2', 'D#4')
5	1.0	16.0	1/3	('C#2', 'G#2', 'C#3', 'E3')
5	7/6	49/3	1/3	('C#2', 'G#2', 'C#3', 'G#3')
5	4/3	50/3	1/3	('C#2', 'G#2', 'C#3', 'C#4')
5	1.5	17.0	1/3	('C#2', 'G#2', 'C#3', 'G#3')
5	5/3	52/3	1/3	('C#2', 'G#2', 'C#3', 'C#4')
5	11/6	53/3	1/3	('C#2', 'G#2', 'C#3', 'E4')
5	2.0	18.0	1/3	('C#2', 'G#2', 'C#3', 'G#3')
5	13/6	55/3	1/3	('C#2', 'G#2', 'C#3', 'C#4')
5	7/3	56/3	1/3	('C#2', 'G#2', 'C#3', 'E4')
5	2.5	19.0	1/3	('C#2', 'G#2', 'C#3', 'G#3', 'G#4')
5	8/3	58/3	1/3	('C#2', 'G#2', 'C#3', 'C#4', 'G#4')
5	17/6	59/3	1/12	('C#2', 'G#2', 'C#3', 'E4', 'G#4')
5	2.875	19.75	0.25	('C#2', 'G#2', 'C#3', 'E4', 'G#4')
6	1.0	20.0	1/3	('B#1', 'G#2', 'B#2', 'G#3', 'G#4')
6	7/6	61/3	1/3	('B#1', 'G#2', 'B#2', 'D#4', 'G#4')
6	4/3	62/3	1/3	('B#1', 'G#2', 'B#2', 'F#4', 'G#4')
6	1.5	21.0	1/3	('B#1', 'G#2', 'B#2', 'G#3', 'G#4')
6	5/3	64/3	1/3	('B#1', 'G#2', 'B#2', 'D#4', 'G#4')
6	11/6	65/3	1/3	('B#1', 'G#2', 'B#2', 'F#4', 'G#4')
6	2.0	22.0	1/3	('B#1', 'G#2', 'B#2', 'G#3', 'G#4')
6	13/6	67/3	1/3	('B#1', 'G#2', 'B#2', 'D#4', 'G#4')
6	7/3	68/3	1/3	('B#1', 'G#2', 'B#2', 'F#4', 'G#4')
6	2.5	23.0	1/3	('B#1', 'G#2', 'B#2', 'G#3', 'G#4')
6	8/3	70/3	1/3	('B#1', 'G#2', 'B#2', 'D#4', 'G#4')
6	17/6	71/3	1/12	('B#1', 'G#2', 'B#2', 'F#4', 'G#4')
6	2.875	23.75	0.25	('B#1', 'G#2', 'B#2', 'F#4', 'G#4')
7	1.0	24.0	1/3	('C#2', 'C#3', 'G#3', 'G#4')
7	7/6	73/3	1/3	('C#2', 'C#3', 'C#4', 'G#4')
7	4/3	74/3	1/3	('C#2', 'C#3', 'E4', 'G#4')
7	1.5	25.0	1/3	('C#2', 'C#3', 'G#3', 'G#4')
7	5/3	76/3	1/3	('C#2', 'C#3', 'C#4', 'G#4')
7	11/6	77/3	1/3	('C#2', 'C#3', 'E4', 'G#4')
7	2.0	26.0	1/3	('F#1', 'F#2', 'A3', 'A4')
7	13/6	79/3	1/3	('F#1', 'F#2', 'C#4', 'A4')
7	7/3	80/3	1/3	('F#1', 'F#2', 'F#4', 'A4')
7	2.5	27.0	1/3	('F#1', 'F#2', 'A3', 'A4')
7	8/3	82/3	1/3	('F#1', 'F#2', 'C#4', 'A4')
7	17/6	83/3	1/3	('F#1', 'F#2', 'F#4', 'A4')
8	1.0	28.0	1/3	('B1', 'B2', 'G#3', 'G#4')
8	7/6	85/3	1/3	('B1', 'B2', 'B3', 'G#4')
8	4/3	86/3	1/3	('B1', 'B2', 'E4', 'G#4')
8	1.5	29.0	1/3	('B1', 'B2', 'G#3', 'G#4')
8	5/3	88/3	1/3	('B1', 'B2', 'B3', 'G#4')
8	11/6	89/3	1/3	('B1', 'B2', 'E4', 'G#4')
8	2.0	30.0	1/3	('B1', 'B2', 'A3', 'F#4')
8	13/6	91/3	1/3	('B1', 'B2', 'B3', 'F#4')
8	7/3	92/3	1/3	('B1', 'B2', 'D#4', 'F#4')
8	2.5	31.0	1/3	('B1', 'B2', 'A3', 'B4')
8	8/3	94/3	1/3	('B1', 'B2', 'B3', 'B4')
8	17/6	95/3	1/3	('B1', 'B2', 'D#4', 'B4')
9	1.0	32.0	1/3	('E2', 'E3', 'G#3', 'E4')
9	7/6	97/3	1/3	('E2', 'E3', 'B3', 'E4')
9	4/3	98/3	1/3	('E2', 'E3', 'E4')
9	1.5	33.0	1/3	('E2', 'E3', 'G#3')
9	5/3	100/3	1/3	('E2', 'E3', 'B3')
9	11/6	101/3	1/3	('E2', 'E3', 'E4')
9	2.0	34.0	1/3	('E2', 'E3', 'G#3')
