measure_number	beat	offset	duration	notes
0	4.0	0.0	1.0	('C2', 'C4')
0	14/3	1.0	0.25	('C2', 'C4')
0	29/6	1.25	0.25	('A-1', 'A-3')
1	1.0	1.5	3.0	('F1', 'F3')
1	3.0	4.5	1.5	('F1', 'F3')
1	4.0	6.0	1.0	('A-1', 'A-3')
1	14/3	7.0	0.25	('A-1', 'A-3')
1	29/6	7.25	0.25	('C2', 'C4')
2	1.0	7.5	1.5	('F2', 'F4')
2	2.0	9.0	1.0	('A-2', 'A-4')
2	8/3	10.0	0.25	('A-2', 'A-4')
2	17/6	10.25	0.25	('C3', 'C5')
2	3.0	10.5	1.5	('F3', 'F5')
2	4.0	12.0	1.5	('A-3', 'F4')
3	1.0	13.5	1.5	('E3', 'G3', 'C4', 'C5')
3	2.0	15.0	1.0	('E3', 'G3', 'C4', 'C5')
3	8/3	16.0	0.5	('E3', 'G3', 'C4', 'D5')
3	3.0	16.5	1.5	('F3', 'A-3', 'B3', 'C5', 'D5')
3	4.0	18.0	0.75	('F3', 'A-3', 'B3', 'D5')
3	4.5	18.75	0.25	('F3', 'A-3', 'B3', 'C5')
3	14/3	19.0	0.25	('F3', 'A-3', 'B3', 'E5')
3	29/6	19.25	0.25	('F3', 'A-3', 'B3', 'D5')
4	1.0	19.5	1.0	('E3', 'G3', 'C4', 'C5')
4	4.0	24.0	1.0	('D-2', 'D-4')
4	14/3	25.0	0.25	('D-2', 'D-4')
4	29/6	25.25	0.25	('B-1', 'B-3')
5	1.0	25.5	3.0	('G-1', 'G-3')
5	3.0	28.5	1.5	('G-1', 'G-3')
5	4.0	30.0	1.0	('B-1', 'B-3')
5	14/3	31.0	0.25	('B-1', 'B-3')
5	29/6	31.25	0.25	('D-2', 'D-4')
6	1.0	31.5	1.5	('G-2', 'G-4')
6	2.0	33.0	1.0	('B-2', 'B-4')
6	8/3	34.0	0.25	('B-2', 'B-4')
6	17/6	34.25	0.25	('D-3', 'D-5')
6	3.0	34.5	1.5	('G-3', 'G-5')
6	4.0	36.0	1.5	('B-3', 'G-4')
7	1.0	37.5	1.5	('F3', 'A-3', 'D-4', 'D-5')
7	2.0	39.0	1.0	('F3', 'A-3', 'D-4', 'D-5')
7	8/3	40.0	0.5	('F3', 'A-3', 'D-4', 'E-5')
7	3.0	40.5	1.5	('G-3', 'A3', 'C4', 'D-5', 'E-5')
7	4.0	42.0	0.75	('G-3', 'A3', 'C4', 'E-5')
7	4.5	42.75	0.25	('G-3', 'A3', 'C4', 'D-5')
7	14/3	43.0	0.25	('G-3', 'A3', 'C4', 'F5')
7	29/6	43.25	0.25	('G-3', 'A3', 'C4', 'E-5')
8	1.0	43.5	1.0	('F3', 'A-3', 'D-4', 'D-5')
9	1.0	49.5	1.5	('E4', 'G4', 'C5')
9	2.0	51.0	1.0	('E4', 'G4', 'C5')
9	8/3	52.0	0.5	('E4', 'G4', 'D5')
9	3.0	52.5	1.5	('F4', 'A-4', 'B4', 'C5', 'D5')
9	4.0	54.0	0.75	('F4', 'A-4', 'B4', 'D5')
9	4.5	54.75	0.25	('F4', 'A-4', 'B4', 'C5')
9	14/3	55.0	0.25	('F4', 'A-4', 'B4', 'E5')
9	29/6	55.25	0.25	('F4', 'A-4', 'B4', 'D5')
10	1.0	55.5	1.0	('E4', 'G4', 'C5')
10	2.0	57.0	0.5	('D-2',)
10	7/3	57.5	0.5	('D-2',)
10	8/3	58.0	0.5	('D-2',)
10	3.0	58.5	1.0	('C2',)
11	1.0	61.5	1.5	('G4', 'B-4', 'D-5', 'E5')
11	2.0	63.0	1.0	('G4', 'B-4', 'D-5', 'E5')
11	8/3	64.0	0.5	('G4', 'B-4', 'D-5', 'F5')
11	3.0	64.5	1.5	('A-4', 'B-4', 'D-5', 'F5')
11	4.0	66.0	0.75	('A-4', 'B-4', 'D-5', 'F5')
11	4.5	66.75	0.25	('A-4', 'B-4', 'D-5', 'E5')
