measure_number	beat	offset	duration	notes
1	1.0	0.0	0.5	('E-2', 'B-3', 'E-4', 'G4')
1	4/3	0.5	0.5	('E-3', 'B-3', 'E-4', 'G4')
1	5/3	1.0	0.5	('E-3', 'B-3', 'E-4', 'G4')
1	2.0	1.5	0.5	('E-3', 'B-3', 'E-4', 'G4')
1	7/3	2.0	0.5	('E-3', 'B-3', 'E-4', 'G4')
1	8/3	2.5	0.5	('E-3', 'B-3', 'E-4', 'G4')
2	1.0	3.0	0.5	('E-3', 'G3', 'B-3', 'E-4')
2	4/3	3.5	0.5	('E-3', 'G3', 'B-3', 'E-4')
2	5/3	4.0	0.5	('E-3',)
2	2.0	4.5	0.5	('E-3',)
2	7/3	5.0	0.5	('E-3',)
2	8/3	5.5	0.5	('E-3',)
3	1.0	6.0	0.5	('E-2', 'B-3', 'E-4', 'G4', 'B-4')
3	4/3	6.5	0.5	('E-3', 'B-3', 'E-4', 'G4', 'B-4')
3	5/3	7.0	0.5	('E-3', 'B-3', 'E-4', 'G4', 'B-4')
3	2.0	7.5	0.5	('E-3', 'B-3', 'E-4', 'G4', 'B-4')
3	7/3	8.0	0.5	('E-3', 'B-3', 'E-4', 'G4', 'B-4')
3	8/3	8.5	0.5	('E-3', 'B-3', 'E-4', 'G4', 'B-4')
4	1.0	9.0	0.5	('E-3', 'G3', 'B-3', 'E-4', 'G4')
4	4/3	9.5	0.5	('E-3', 'G3', 'B-3', 'E-4', 'G4')
4	5/3	10.0	0.5	('E-3',)
4	2.0	10.5	0.5	('E-3',)
4	7/3	11.0	0.5	('E-3',)
4	8/3	11.5	0.5	('E-3', 'B-4')
5	1.0	12.0	0.5	('E-3', 'G3', 'E-4', 'E-5')
5	4/3	12.5	0.5	('E-3', 'G3', 'E-4', 'D5')
5	5/3	13.0	0.5	('E-3', 'G3', 'E-4', 'F5')
5	2.0	13.5	0.5	('F3', 'A-3', 'E-4', 'E-5')
5	7/3	14.0	0.5	('F3', 'A-3', 'E-4', 'D5')
5	8/3	14.5	0.5	('F3', 'A-3', 'E-4', 'F5')
6	1.0	15.0	0.5	('G3', 'B-3', 'E-4', 'E-5')
6	4/3	15.5	0.5	('G3', 'B-3', 'E-4', 'D5')
6	5/3	16.0	0.5	('F5',)
6	2.0	16.5	0.5	('E-5',)
6	7/3	17.0	0.5	('D5',)
6	8/3	17.5	0.5	('C5',)
7	1.0	18.0	0.5	('B-3', 'D4', 'B-4', 'A-5')
7	4/3	18.5	0.5	('B-3', 'D4', 'B-4', 'G5')
7	5/3	19.0	0.5	('B-3', 'D4', 'B-4', 'B-5')
7	2.0	19.5	0.5	('C4', 'E-4', 'B-4', 'A-5')
7	7/3	20.0	0.5	('C4', 'E-4', 'B-4', 'G5')
7	8/3	20.5	0.5	('C4', 'E-4', 'B-4', 'B-5')
8	1.0	21.0	0.5	('D4', 'F4', 'B-4', 'A-5')
8	4/3	21.5	0.5	('D4', 'F4', 'B-4', 'G5')
8	5/3	22.0	0.5	('B-5',)
8	2.0	22.5	0.5	('A-5',)
8	7/3	23.0	0.5	('G5',)
8	8/3	23.5	0.5	('F5',)
