measure_number	beat	offset	duration	notes
1	1.0	0.0	0.5	('E2', 'E3', 'E4', 'G#4')
1	4/3	0.5	0.5	('E2', 'E3', 'B3', 'G#4')
1	5/3	1.0	0.5	('E2', 'D#3', 'F#4', 'A4')
1	2.0	1.5	0.5	('E2', 'D3', 'G#4', 'B4')
1	7/3	2.0	0.5	('E2', 'D3', 'E4', 'B4')
1	8/3	2.5	0.5	('E2', 'C#3', 'A4', 'C#5')
2	1.0	3.0	0.5	('E2', 'B2', 'A4', 'E5')
2	4/3	3.5	0.5	('E2', 'B2', 'F#4', 'E5')
2	5/3	4.0	0.5	('E2', 'B2', 'B4', 'D5')
2	2.0	4.5	1.0	('E2', 'E3', 'G#4', 'B4')
2	8/3	5.5	0.5	('E2', 'A4')
3	1.0	6.0	0.5	('F#4', 'A4', 'A5')
3	4/3	6.5	0.5	('F#4', 'A4', 'A5')
3	5/3	7.0	0.5	('E4', 'A4', 'G#5')
3	2.0	7.5	0.5	('A3', 'D4', 'A4', 'F#5')
3	7/3	8.0	0.5	('A3', 'D4', 'A4', 'F#5')
3	8/3	8.5	0.5	('A3', 'C#4', 'A4', 'E5')
4	1.0	9.0	0.5	('C#3', 'C#4', 'A4', 'F#5')
4	4/3	9.5	0.5	('C#3', 'C#4', 'A4', 'F#5')
4	5/3	10.0	0.5	('D3', 'C#4', 'A4', 'E5')
4	2.0	10.5	0.5	('E3', 'C#4', 'A4', 'E5')
4	7/3	11.0	0.5	('E3', 'A3', 'E4', 'C#5')
4	8/3	11.5	0.5	('E3', 'G#3', 'E4', 'B4')
5	1.0	12.0	0.5	('E2', 'E3', 'E4', 'G#4')
5	4/3	12.5	0.5	('E2', 'E3', 'B3', 'G#4')
5	5/3	13.0	0.5	('E2', 'D#3', 'F#4', 'A4')
5	2.0	13.5	0.5	('E2', 'D3', 'G#4', 'B4')
5	7/3	14.0	0.5	('E2', 'D3', 'E4', 'B4')
5	8/3	14.5	0.5	('E2', 'C#3', 'A4', 'C#5')
6	1.0	15.0	0.5	('E2', 'B2', 'A4', 'E5')
6	4/3	15.5	0.5	('E2', 'E3', 'G#4', 'E5')
6	5/3	16.0	0.5	('E#2', 'E#3', 'G#4', 'B4', 'D5')
6	2.0	16.5	1.5	('F#2', 'F#3', 'A4', 'C#5')
7	1.0	18.0	0.5	('F#2', 'F#3', 'A4', 'C#5')
7	4/3	18.5	0.5	('F#2', 'F#3', 'D#4', 'C#5')
7	5/3	19.0	0.5	('F#2', 'F#3', 'A4', 'B4', 'D#5')
7	2.0	19.5	0.5	('E2', 'E3', 'G#4', 'B4', 'E5')
7	7/3	20.0	0.5	('E2', 'E3', 'E4', 'B4', 'E5')
7	8/3	20.5	0.5	('D#2', 'D#3', 'F#4', 'B4', 'F#5')
8	1.0	21.0	0.5	('E2', 'E3', 'B4', 'G#5')
8	4/3	21.5	0.5	('E2', 'E3', 'G#4', 'G#5')
8	5/3	22.0	0.5	('C#2', 'C#3', 'A4', 'E5', 'A5')
8	2.0	22.5	0.5	('G#1', 'G#2', 'E5', 'B5')
8	7/3	23.0	0.5	('G#1', 'G#2', 'B4', 'B5')
8	8/3	23.5	0.5	('G#1', 'G#2', 'D#5', 'F#5', 'B#5')
9	1.0	24.0	1.5	('G#1', 'G#2', 'D#5', 'F#5', 'B#5')
9	2.0	25.5	0.5	('A1', 'A2', 'C#5', 'E5', 'B#5')
9	7/3	26.0	0.5	('A1', 'A2', 'C#5', 'E5', 'D#6')
9	8/3	26.5	0.5	('A1', 'A2', 'C#5', 'E5', 'C#6')
10	1.0	27.0	1.5	('A#1', 'A#2', 'C#5', 'E5', 'F#5')
10	2.0	28.5	0.5	('B1', 'B2', 'A4', 'D#5', 'F#5')
10	7/3	29.0	0.5	('B1', 'B2', 'A4', 'D#5', 'G#5')
10	8/3	29.5	0.5	('B1', 'B2', 'A4', 'D#5', 'A5')
11	1.0	30.0	1.0	('C#2', 'C#3', 'E4', 'A4', 'E5')
11	5/3	31.0	0.5	('C#2', 'C#3', 'E4', 'A4', 'D#5')
11	2.0	31.5	1.0	('D#2', 'D#3', 'F#4', 'A4', 'C#5')
11	8/3	32.5	0.5	('F#2', 'F#3', 'D#4', 'A4', 'B4')
12	1.0	33.0	1.5	('F#3', 'B3', 'D#4', 'A4', 'B4')
12	2.0	34.5	0.5	('F#3', 'B3', 'D#4', 'A4', 'D#5')
12	7/3	35.0	0.5	('D#3', 'B3', 'F#4', 'A4', 'F#5')
12	8/3	35.5	0.5	('E3', 'B3', 'E4', 'G#4', 'E5')
13	1.0	36.0	1.0	('F#3', 'B3', 'D#4', 'A4', 'B4')
13	5/3	37.0	0.125	('F#3', 'B3', 'D#4', 'A4', 'B4', 'C#5')
13	1.75	37.125	0.125	('F#3', 'B3', 'D#4', 'A4', 'B4')
13	11/6	37.25	0.125	('F#3', 'B3', 'D#4', 'A4', 'A#4', 'B4')
13	23/12	37.375	0.125	('F#3', 'B3', 'D#4', 'A4', 'B4')
13	2.0	37.5	0.5	('F#3', 'B3', 'D#4', 'B5')
13	7/3	38.0	0.5	('F#3', 'B3', 'D#4', 'B4', 'A5')
13	8/3	38.5	0.5	('G#3', 'B3', 'E4', 'B4', 'G#5')
14	1.0	39.0	0.5	('A3', 'C#4', 'E4', 'C#5', 'G#5')
14	4/3	39.5	0.5	('A3', 'C#4', 'E4', 'C#5', 'F#5')
14	5/3	40.0	0.5	('A#3', 'C#4', 'F#4', 'C#5', 'E5')
14	2.0	40.5	0.5	('B3', 'D#4', 'F#4', 'B4', 'E5')
14	7/3	41.0	0.5	('B3', 'D#4', 'F#4', 'B4', 'D#5')
14	8/3	41.5	0.5	('C#4', 'E4', 'F#4', 'A#4', 'E5')
15	1.0	42.0	1.0	('D#4', 'F#4', 'A4', 'B4')
15	5/3	43.0	0.5	('E4', 'G#4', 'B4')
15	2.0	43.5	1.0	('B3', 'D#4', 'F#4', 'B4')
15	8/3	44.5	0.5	('B2', 'D#4', 'F#4', 'A4')
16	1.0	45.0	1.5	('C#3', 'E4', 'G#4')
16	2.0	46.5	0.5	('E4',)
16	7/3	47.0	0.5	('F#4',)
16	8/3	47.5	0.5	('G#4',)
17	1.0	48.0	1.0	('A#3',)
17	5/3	49.0	0.5	('A#3',)
17	2.0	49.5	0.5	('A3', 'D#4', 'F#5')
17	7/3	50.0	0.5	('A3', 'C#4', 'E5')
17	8/3	50.5	0.5	('A3', 'B3', 'D#5')
18	1.0	51.0	1.5	('G#3', 'E#4', 'D5', 'B5')
18	2.0	52.5	0.5	('F#2', 'A5', 'C#6')
18	7/3	53.0	0.5	('G#2', 'A5', 'C#6')
18	8/3	53.5	0.5	('A2', 'A5', 'C#6')
19	1.0	54.0	0.5	('B2', 'G#4', 'E5', 'G#5')
19	4/3	54.5	0.5	('A#3', 'G#4', 'E5', 'G#5')
19	5/3	55.0	0.5	('B3', 'G#4', 'E5', 'G#5')
19	2.0	55.5	0.5	('E4', 'G#4', 'E5', 'G#5')
19	7/3	56.0	0.5	('E4', 'F##4')
19	8/3	56.5	0.5	('G#4',)
20	1.0	57.0	0.5	('B4',)
20	5/3	58.0	0.5	('B1', 'B2', 'G#3', 'B3', 'E4')
20	2.0	58.5	1.0	('B1', 'B2', 'B3', 'E4', 'G#4')
20	8/3	59.5	0.5	('A1', 'A2', 'B3', 'D#4', 'F#4')
21	1.0	60.0	0.5	('G#1', 'G#2', 'B3', 'E4', 'B4')
21	4/3	60.5	0.5	('A#3', 'B3', 'E4', 'B4')
21	5/3	61.0	0.5	('B3', 'E4', 'B4')
21	2.0	61.5	0.5	('G#4', 'B4')
21	7/3	62.0	0.5	('G#4', 'A#4')
21	8/3	62.5	0.5	('B4',)
22	1.0	63.0	0.5	('G#5',)
22	5/3	64.0	0.5	('B1', 'B2', 'G#3', 'B3', 'E4')
22	2.0	64.5	1.0	('B1', 'B2', 'B3', 'E4', 'G#4')
22	8/3	65.5	0.5	('A1', 'A2', 'B3', 'D#4', 'F#4')
23	1.0	66.0	0.5	('G#1', 'G#2', 'B3', 'E4', 'B4')
23	4/3	66.5	0.5	('A#3', 'B3', 'E4', 'B4')
23	5/3	67.0	0.5	('B3', 'E4', 'B4')
23	2.0	67.5	0.5	('B4',)
23	7/3	68.0	0.5	('A#4',)
23	8/3	68.5	0.5	('B4',)
24	1.0	69.0	0.5	('E5',)
24	4/3	69.5	0.5	('G#5',)
24	5/3	70.0	0.25	('B1', 'B2', 'B5')
24	11/6	70.25	0.25	('B1', 'B2', 'E6')
24	2.0	70.5	0.5	('B1', 'B2', 'G#6')
24	7/3	71.0	0.5	('B1', 'B2', 'B6')
24	8/3	71.5	0.5	('B2', 'B3', 'F#4', 'A4', 'D#5')
25	1.0	72.0	1.0	('E2', 'E3', 'E4', 'G#4', 'E5')
25	5/3	73.0	0.5	('E2', 'E3')
25	2.0	73.5	1.0	('B2', 'B3')
25	8/3	74.5	0.5	('B2', 'B3', 'E4', 'G#4', 'B4')
26	1.0	75.0	1.0	('G#2', 'B2', 'G#3', 'E4', 'B4')
26	5/3	76.0	0.5	('G#2', 'B2', 'G#3')
26	2.0	76.5	1.0	('F#2', 'B2', 'F#3')
26	8/3	77.5	0.5	('F#2', 'B2', 'F#3', 'D#4', 'A4', 'D#5')
27	1.0	78.0	1.0	('E2', 'B2', 'E3', 'E4', 'G#4', 'E5')
27	5/3	79.0	0.5	('E2', 'B2', 'E3')
27	2.0	79.5	1.0	('B2',)
27	8/3	80.5	0.5	('B2', 'B4', 'B5')
28	1.0	81.0	1.0	('G#2', 'B2', 'B4', 'B5')
28	5/3	82.0	0.5	('G#2', 'B2')
28	2.0	82.5	1.0	('F#2', 'B2')
28	8/3	83.5	0.5	('F#2', 'B2', 'D#5', 'A5', 'D#6')
29	1.0	84.0	1.0	('E2', 'B2', 'E5', 'G#5', 'E6')
29	5/3	85.0	0.5	('E2', 'B2', 'E3', 'F#5', 'A5', 'F#6')
29	2.0	85.5	1.0	('E2', 'B2', 'E3', 'F#5', 'A5', 'F#6')
29	8/3	86.5	0.5	('E2', 'B2', 'E3', 'E5', 'G#5', 'E6')
30	1.0	87.0	1.0	('E2', 'B2', 'E3', 'E5', 'G#5', 'E6')
30	5/3	88.0	0.5	('E2', 'B2', 'E3', 'F#5', 'A5', 'F#6')
30	2.0	88.5	1.0	('E2', 'B2', 'E3', 'F#5', 'A5', 'F#6')
30	8/3	89.5	0.5	('E2', 'B2', 'E3', 'E5', 'G#5', 'E6')
31	1.0	90.0	1.0	('E2', 'B2', 'E3', 'E5', 'G#5', 'E6')
31	5/3	91.0	0.5	('E2', 'B2', 'D#3', 'A5', 'F#6', 'A6')
31	2.0	91.5	1.0	('E2', 'B2', 'D#3', 'A5', 'F#6', 'A6')
31	8/3	92.5	0.5	('E2', 'B2', 'E3', 'G#5', 'E6', 'G#6')
32	1.0	93.0	1.0	('E2', 'B2', 'E3', 'G#5', 'E6', 'G#6')
32	5/3	94.0	0.5	('E2', 'B2', 'E3', 'F#5', 'A5', 'D#6', 'F#6')
32	2.0	94.5	1.0	('E2', 'B2', 'E3', 'F#5', 'A5', 'D#6', 'F#6')
32	8/3	95.5	0.5	('E2', 'B2', 'E3', 'E5', 'G#5', 'E6')
33	1.0	96.0	1.0	('E2', 'B2', 'E3', 'E5', 'G#5', 'E6')
33	5/3	97.0	0.5	('E3', 'G#3', 'B3', 'G#4', 'B4')
33	2.0	97.5	1.0	('E3', 'G#3', 'B3', 'G#4', 'B4')
33	8/3	98.5	0.5	('E3', 'G#3', 'B3', 'G#4', 'B4')
34	1.0	99.0	1.0	('E3', 'G#3', 'B3', 'G#4', 'B4')
34	5/3	100.0	0.5	('G#4', 'B4')
34	2.0	100.5	1.0	('G#4', 'B4')
34	8/3	101.5	0.5	('G#4', 'B4')
35	1.0	102.0	0.5	('E3', 'G#4', 'B4')
35	4/3	102.5	0.5	('B2', 'E3', 'G#4', 'B4')
35	5/3	103.0	0.5	('B2', 'F#3', 'G#4', 'B4')
35	2.0	103.5	0.5	('B2', 'G#3', 'G#4', 'B4')
35	7/3	104.0	0.5	('E3', 'G#3', 'G#4', 'B4')
35	8/3	104.5	0.5	('E3', 'A3', 'G#4', 'B4')
36	1.0	105.0	0.5	('E3', 'C#4', 'G#4', 'B4')
36	4/3	105.5	0.5	('E3', 'C#4', 'G#4', 'B4')
36	5/3	106.0	0.5	('E3', 'B3', 'G#4', 'B4')
36	2.0	106.5	1.0	('E3', 'G#3', 'G#4', 'B4')
36	8/3	107.5	0.5	('G#4', 'B4', 'C#5')
37	1.0	108.0	1.0	('G#4', 'B4', 'C#5')
37	5/3	109.0	0.5	('G#4', 'B4', 'C#5')
37	2.0	109.5	1.0	('G#4', 'B4', 'C#5')
37	8/3	110.5	0.5	('G#4', 'B4', 'C#5')
38	1.0	111.0	0.5	('E#3', 'G#4', 'B4', 'C#5')
38	4/3	111.5	0.5	('C#3', 'E#3', 'G#4', 'B4', 'C#5')
38	5/3	112.0	0.5	('C#3', 'F#3', 'G#4', 'B4', 'C#5')
38	2.0	112.5	0.5	('C#3', 'G#3', 'G#4', 'B4', 'C#5')
38	7/3	113.0	0.5	('C#3', 'G#3', 'G#4', 'B4', 'C#5')
38	8/3	113.5	0.5	('C#3', 'A3', 'G#4', 'B4', 'C#5')
39	1.0	114.0	0.5	('C#3', 'C#4', 'G#4', 'B4', 'C#5')
39	4/3	114.5	0.5	('C#3', 'C#4', 'G#4', 'B4', 'C#5')
39	5/3	115.0	0.5	('C#3', 'B3', 'G#4', 'B4', 'C#5')
39	2.0	115.5	1.0	('C#3', 'G#3', 'G#4', 'B4', 'C#5')
39	8/3	116.5	0.5	('G#4', 'B4', 'C#5')
40	1.0	117.0	1.0	('G#4', 'B4', 'C#5')
40	5/3	118.0	0.5	('G#4', 'B4', 'C#5')
40	2.0	118.5	1.0	('G#4', 'B4', 'C#5')
40	8/3	119.5	0.5	('F#1', 'F#2', 'A4', 'C#5')
41	1.0	120.0	0.5	('F#1', 'F#2', 'A4', 'C#5', 'F#5')
41	4/3	120.5	0.5	('F#1', 'F#2', 'C#5', 'F#5')
41	5/3	121.0	0.5	('F#1', 'F#2', 'C#5', 'E#5', 'G#5')
41	2.0	121.5	0.5	('F#1', 'F#2', 'C#5', 'F#5', 'A5')
41	7/3	122.0	0.5	('F#1', 'F#2', 'C#5', 'F#5', 'A5')
41	8/3	122.5	0.5	('F#1', 'F#2', 'C#5', 'G#5', 'B5')
42	1.0	123.0	0.5	('F#1', 'F#2', 'C#5', 'A5', 'D6')
42	4/3	123.5	0.5	('F#1', 'F#2', 'C#5', 'A5', 'D6')
42	5/3	124.0	0.5	('F#1', 'F#2', 'C#5', 'A5', 'C#6')
42	2.0	124.5	0.5	('F#1', 'F#2', 'C#5', 'A5')
42	7/3	125.0	0.5	('F#1', 'F#2', 'C#5', 'A5')
42	8/3	125.5	0.5	('F#4', 'A4', 'C#5', 'A5')
43	1.0	126.0	0.5	('F#4', 'A4', 'C#5', 'D6')
43	4/3	126.5	0.5	('F#4', 'A4', 'C#5', 'D6')
43	5/3	127.0	0.5	('F#4', 'A4', 'C#5', 'C#6')
43	2.0	127.5	0.5	('F#4', 'A4', 'C#5', 'A5')
43	7/3	128.0	0.5	('F#4', 'A4', 'C#5', 'A5')
43	8/3	128.5	0.5	('E2', 'C#5', 'G5', 'A5')
44	1.0	129.0	0.5	('E2', 'C#5', 'D6')
44	4/3	129.5	0.5	('E2', 'C#5', 'D6')
44	5/3	130.0	0.5	('E2', 'C#5', 'G5', 'C#6')
44	2.0	130.5	0.5	('E2', 'C#5', 'G5', 'A5')
44	7/3	131.0	0.5	('E2', 'C#5', 'G5', 'A5')
44	8/3	131.5	0.5	('E4', 'G4', 'A4', 'C#5', 'G5', 'A5')
45	1.0	132.0	0.5	('E4', 'G4', 'A4', 'C#5', 'G5', 'A5', 'D6')
45	4/3	132.5	0.5	('E4', 'G4', 'A4', 'C#5', 'G5', 'A5', 'D6')
45	5/3	133.0	0.5	('E4', 'G4', 'A4', 'C#5', 'G5', 'C#6')
45	2.0	133.5	0.5	('E4', 'G4', 'A4', 'C#5', 'G5', 'A5')
45	7/3	134.0	0.5	('E4', 'G4', 'A4', 'C#5', 'G5', 'A5')
45	8/3	134.5	0.5	('D4', 'F#4', 'A4', 'F#5', 'A5')
46	1.0	135.0	0.5	('D4', 'F#4', 'A4', 'F#5', 'E6')
46	4/3	135.5	0.5	('D4', 'F#4', 'A4', 'F#5', 'E6')
46	5/3	136.0	0.5	('D4', 'F#4', 'F#5', 'D6')
46	2.0	136.5	0.5	('D4', 'F#4', 'F#5', 'A5')
46	7/3	137.0	0.5	('D4', 'F#4', 'F#5', 'A5')
46	8/3	137.5	0.5	('A#3', 'C#4', 'F#4', 'F#5', 'C#6')
47	1.0	138.0	0.5	('A#3', 'C#4', 'F#4', 'F#5', 'G6')
47	4/3	138.5	0.5	('A#3', 'C#4', 'F#4', 'F#5', 'G6')
47	5/3	139.0	0.5	('A#3', 'C#4', 'F#4', 'F#5', 'F#6')
47	2.0	139.5	0.5	('A#3', 'C#4', 'F#4', 'F#5', 'C#6')
47	7/3	140.0	0.5	('A#3', 'C#4', 'F#4', 'F#5', 'C#6')
47	8/3	140.5	0.5	('B3', 'D4', 'F#4', 'F#5', 'D6')
48	1.0	141.0	0.5	('B3', 'D4', 'F#4', 'F#5', 'G6')
