measure_number	beat	offset	duration	notes
0	2.5	0.0	1.0	('C4',)
1	1.0	1.0	1.0	('F4',)
1	1.5	2.0	1.0	('A-4',)
1	2.0	3.0	1.0	('C5',)
1	2.5	4.0	1.0	('F5',)
2	1.0	5.0	1.0	('A-5',)
2	1.5	6.0	0.5	('F3', 'A-3', 'C4', 'A-5')
2	1.75	6.5	1/6	('F3', 'A-3', 'C4', 'G5')
2	11/6	20/3	1/6	('F3', 'A-3', 'C4', 'F5')
2	23/12	41/6	1/6	('F3', 'A-3', 'C4', 'E5')
2	2.0	7.0	1.0	('F3', 'A-3', 'C4', 'F5')
2	2.5	8.0	1.0	('F3', 'A-3', 'C4')
3	1.0	9.0	1.0	('E3', 'G3', 'B-3', 'C4', 'G4')
3	1.5	10.0	1.0	('C5',)
3	2.0	11.0	1.0	('E5',)
3	2.5	12.0	1.0	('G5',)
4	1.0	13.0	1.0	('B-5',)
4	1.5	14.0	0.5	('E3', 'G3', 'B-3', 'C4', 'B-5')
4	1.75	14.5	1/6	('E3', 'G3', 'B-3', 'C4', 'A-5')
4	11/6	44/3	1/6	('E3', 'G3', 'B-3', 'C4', 'G5')
4	23/12	89/6	1/6	('E3', 'G3', 'B-3', 'C4', 'F5')
4	2.0	15.0	1.0	('E3', 'G3', 'B-3', 'C4', 'G5')
4	2.5	16.0	1.0	('E3', 'G3', 'B-3', 'C4')
5	1.0	17.0	1.0	('C5', 'A-5')
5	1.5	18.0	0.5	('F3', 'A-3', 'C4', 'A-5')
5	1.75	18.5	1/6	('F3', 'A-3', 'C4', 'G5')
5	11/6	56/3	1/6	('F3', 'A-3', 'C4', 'F5')
5	23/12	113/6	1/6	('F3', 'A-3', 'C4', 'E5')
5	2.0	19.0	1.0	('F3', 'A-3', 'C4', 'F5')
5	2.5	20.0	1.0	('F3', 'A-3', 'C4')
6	1.0	21.0	1.0	('C5', 'B-5')
6	1.5	22.0	0.5	('G3', 'B-3', 'E4', 'B-5')
6	1.75	22.5	1/6	('G3', 'B-3', 'E4', 'A-5')
6	11/6	68/3	1/6	('G3', 'B-3', 'E4', 'G5')
6	23/12	137/6	1/6	('G3', 'B-3', 'E4', 'F5')
6	2.0	23.0	1.0	('G3', 'B-3', 'E4', 'G5')
6	2.5	24.0	1.0	('G3', 'B-3', 'E4')
7	1.0	25.0	1.0	('C5', 'F5', 'A-5', 'C6')
7	1.5	26.0	1.0	('A-3', 'C4', 'F4', 'C5', 'F5', 'A-5', 'C6')
7	2.0	27.0	0.5	('B-5',)
7	2.25	27.5	0.5	('A-5',)
7	2.5	28.0	0.5	('B-3', 'D-4', 'G4', 'G5')
7	2.75	28.5	0.5	('B-3', 'D-4', 'G4', 'F5')
8	1.0	29.0	1.0	('E5', 'F5', 'G5')
8	1.5	30.0	1.0	('C4', 'G4', 'E5')
8	2.5	32.0	1.0	('G2',)
9	1.0	33.0	1.0	('C3',)
9	1.5	34.0	1.0	('E-3',)
9	2.0	35.0	1.0	('G3',)
9	2.5	36.0	1.0	('C4',)
10	1.0	37.0	1.5	('E-4',)
10	1.75	38.5	1/6	('D4',)
10	11/6	116/3	1/6	('C4',)
10	23/12	233/6	1/6	('B3',)
10	2.0	39.0	1.0	('C4',)
10	2.5	40.0	1.0	('C4',)
