measure_number	beat	offset	duration	notes
0	2.75	0.0	0.25	('G5',)
1	1.0	0.25	1.0	('G3', 'B3', 'D4', 'G5')
1	2.0	1.25	0.5	('G5',)
1	2.5	1.75	0.25	('F#5',)
1	2.75	2.0	0.25	('E5',)
2	1.0	2.25	0.25	('D5',)
2	1.25	2.5	0.25	('D#5',)
2	1.5	2.75	0.25	('E5',)
2	1.75	3.0	0.25	('B4',)
2	2.0	3.25	0.25	('D5',)
2	2.25	3.5	0.25	('C5',)
2	2.5	3.75	0.25	('B4',)
2	2.75	4.0	0.25	('A4',)
3	1.0	4.25	1.0	('G4',)
3	2.75	6.0	0.25	('B3', 'D4', 'G4')
4	1.0	6.25	0.5	('G2', 'G3', 'B3', 'D4', 'G4')
4	1.5	6.75	0.25	('B3', 'D4', 'G4')
4	1.75	7.0	0.25	('B3', 'D4', 'B4')
4	2.0	7.25	0.5	('G2', 'G3', 'B3', 'D4', 'B4')
4	2.5	7.75	0.25	('B3', 'D4', 'B4')
4	2.75	8.0	0.25	('B3', 'D4', 'G4')
5	1.0	8.25	0.5	('G2', 'G3', 'B3', 'D4', 'G4')
5	2.75	10.0	0.25	('B3', 'D4', 'G4')
6	1.0	10.25	0.5	('G2', 'G3', 'B3', 'D4', 'G4')
6	1.5	10.75	0.25	('B3', 'D4', 'G4')
6	1.75	11.0	0.25	('D4', 'G4', 'B4', 'D5')
6	2.0	11.25	0.5	('G2', 'G3', 'D4', 'G4', 'B4', 'D5')
6	2.5	11.75	0.25	('D4', 'G4', 'B4', 'D5')
6	2.75	12.0	0.25	('B3', 'D4', 'G4')
7	1.0	12.25	0.5	('G2', 'G3', 'B3', 'D4', 'G4')
7	2.75	14.0	0.25	('B3', 'D4', 'G4', 'B4')
8	1.0	14.25	0.5	('G2', 'G3', 'B3', 'D4', 'G4', 'B4')
8	1.5	14.75	0.25	('B3', 'D4', 'G4', 'B4')
8	1.75	15.0	0.25	('G4', 'B4', 'E5', 'G5')
8	2.0	15.25	0.5	('E2', 'E3', 'G4', 'B4', 'E5', 'G5')
8	2.5	15.75	0.25	('G4', 'B4', 'E5', 'G5')
8	2.75	16.0	0.25	('F#4', 'A4', 'D5', 'F#5')
9	1.0	16.25	0.5	('A2', 'A3', 'F#4', 'A4', 'D5', 'F#5')
10	1.0	18.25	0.5	('A2', 'A3', 'F#4', 'A4', 'D5')
10	2.0	19.25	0.5	('A1', 'A2', 'E4', 'G4', 'A4', 'C#5')
11	1.0	20.25	0.5	('D2', 'D3', 'D4', 'F#4', 'A4', 'D5')
11	2.75	22.0	0.25	('F5',)
12	1.0	22.25	1.5	('F4', 'F5')
12	2.5	23.75	0.25	('E4', 'E5')
12	2.75	24.0	0.25	('D4', 'D5')
13	1.0	24.25	0.25	('C4', 'C5')
13	1.25	24.5	0.25	('C#4', 'C#5')
13	1.5	24.75	0.25	('D4', 'D5')
13	1.75	25.0	0.25	('A3', 'A4')
13	2.0	25.25	0.25	('C4', 'C5')
13	2.25	25.5	0.25	('B-3', 'B-4')
13	2.5	25.75	0.25	('A3', 'A4')
13	2.75	26.0	0.25	('G3', 'G4')
14	1.0	26.25	1.0	('F3', 'F4')
14	2.75	28.0	0.25	('A3', 'C4', 'F4')
15	1.0	28.25	0.5	('F2', 'F3', 'A3', 'C4', 'F4')
15	1.5	28.75	0.25	('A3', 'C4', 'F4')
15	1.75	29.0	0.25	('A3', 'C4', 'A4')
15	2.0	29.25	0.5	('F2', 'F3', 'A3', 'C4', 'A4')
15	2.5	29.75	0.25	('A3', 'C4', 'A4')
15	2.75	30.0	0.25	('A3', 'C4', 'F4')
16	1.0	30.25	0.5	('F2', 'F3', 'A3', 'C4', 'F4')
16	2.75	32.0	0.25	('A3', 'C4', 'F4')
17	1.0	32.25	0.5	('F2', 'F3', 'A3', 'C4', 'F4')
