measure_number	beat	offset	duration	notes
0	2.0	0.0	0.25	('G#4',)
0	2.25	0.25	0.25	('G#4', 'B4')
0	2.5	0.5	0.25	('E3', 'G#4', 'B4')
0	2.75	0.75	0.25	('B3', 'G#4', 'B4')
1	1.0	1.0	0.25	('B4',)
1	1.25	1.25	0.25	('F#4', 'B4')
1	1.5	1.5	0.25	('D#4', 'F#4', 'B4')
1	1.75	1.75	0.25	('D#3', 'F#4', 'B4')
1	2.0	2.0	0.25	('E4',)
1	2.25	2.25	0.25	('E4', 'G#4')
1	2.5	2.5	0.25	('C#3', 'E4', 'G#4')
1	2.75	2.75	0.25	('G#3', 'E4', 'G#4')
2	1.0	3.0	0.25	('G#4',)
2	1.25	3.25	0.25	('D#4', 'G#4')
2	1.5	3.5	0.25	('B3', 'D#4', 'G#4')
2	1.75	3.75	0.25	('B2', 'D#4', 'G#4')
2	2.0	4.0	0.25	('C#4',)
2	2.25	4.25	0.25	('C#4', 'E4')
2	2.5	4.5	0.25	('A2', 'C#4', 'E4')
2	2.75	4.75	0.25	('E3', 'C#4', 'E4')
3	1.0	5.0	0.25	('E4',)
3	1.25	5.25	0.25	('B3', 'E4')
3	1.5	5.5	0.25	('G#3', 'B3', 'E4')
3	1.75	5.75	0.25	('G#2', 'B3', 'E4')
3	2.0	6.0	0.25	('A3', 'D#4', 'F#4')
3	2.25	6.25	0.25	('B3', 'D#4', 'F#4')
3	2.5	6.5	0.25	('B1', 'B3', 'D#4', 'F#4')
3	2.75	6.75	0.25	('B2', 'B3', 'D#4', 'F#4')
4	1.0	7.0	0.25	('G#3', 'E4', 'G#4')
4	1.25	7.25	0.25	('B3', 'E4', 'G#4')
4	1.5	7.5	0.25	('E3', 'B3', 'E4', 'G#4')
4	1.75	7.75	0.25	('E2', 'B3', 'E4', 'G#4')
4	2.0	8.0	0.25	('G#4',)
4	2.25	8.25	0.25	('G#4', 'B4')
4	2.5	8.5	0.25	('E3', 'G#4', 'B4')
4	2.75	8.75	0.25	('B3', 'G#4', 'B4')
5	1.0	9.0	0.25	('B4',)
5	1.25	9.25	0.25	('F#4', 'B4')
5	1.5	9.5	0.25	('D#4', 'F#4', 'B4')
5	1.75	9.75	0.25	('D#3', 'F#4', 'B4')
5	2.0	10.0	0.25	('E4', 'A#4')
5	2.25	10.25	0.25	('E4', 'E5')
5	2.5	10.5	0.25	('C#3', 'E4', 'E5')
5	2.75	10.75	0.25	('F#3', 'E4', 'E5')
6	1.0	11.0	0.25	('D#4', 'D#5')
6	1.25	11.25	0.25	('D#4', 'B4')
6	1.5	11.5	0.25	('B3', 'D#4', 'B4')
6	1.75	11.75	0.25	('B2', 'D#4', 'B4')
6	2.0	12.0	0.25	('B4',)
6	2.25	12.25	0.25	('B4', 'D#5')
6	2.5	12.5	0.25	('F#3', 'B4', 'D#5')
6	2.75	12.75	0.25	('F#4', 'B4', 'D#5')
7	1.0	13.0	0.25	('E5',)
7	1.25	13.25	0.25	('B4', 'E5')
7	1.5	13.5	0.25	('G#4', 'B4', 'E5')
7	1.75	13.75	0.25	('G#3', 'B4', 'E5')
7	2.0	14.0	0.25	('G#4', 'B4')
7	2.25	14.25	0.25	('B4', 'G#5')
7	2.5	14.5	0.25	('E3', 'B4', 'G#5')
7	2.75	14.75	0.25	('E4', 'B4', 'G#5')
8	1.0	15.0	0.25	('F#5',)
8	1.25	15.25	0.25	('B4', 'D#5', 'F#5')
8	1.5	15.5	0.25	('F#4', 'B4', 'D#5', 'F#5')
8	1.75	15.75	0.25	('F#3', 'B4', 'D#5', 'F#5')
8	2.0	16.0	0.25	('A#4', 'C#5')
8	2.25	16.25	0.25	('A#4', 'A#5')
8	2.5	16.5	0.25	('F#2', 'A#4', 'A#5')
8	2.75	16.75	0.25	('F#3', 'A#4', 'A#5')
9	1.0	17.0	0.5	('A4', 'B#4', 'D#5', 'F#5', 'A5')
9	1.5	17.5	0.25	('F#3', 'A3', 'B#3', 'D#4', 'A4', 'B#4', 'D#5', 'F#5', 'A5')
