measure_number	beat	offset	duration	notes
1	1.0	0.0	1.5	('C3', 'E-3', 'G3', 'C4', 'E-4', 'G4', 'C5')
1	2.75	1.75	0.25	('G4',)
1	3.0	2.0	0.75	('E-5',)
1	3.75	2.75	0.25	('C5',)
2	1.0	3.0	0.75	('G5',)
2	1.75	3.75	0.25	('E-5',)
2	2.0	4.0	0.75	('C6',)
2	2.75	4.75	0.25	('G5',)
2	3.0	5.0	1.0	('E-6',)
3	1.0	6.0	1.0	('E-6',)
3	3.0	8.0	1.0	('C4', 'E-4', 'G4', 'C5')
4	1.0	9.0	2.0	('C4', 'E-4', 'G4', 'C5')
4	3.0	11.0	1.0	('D4', 'F4', 'G4', 'B4')
5	1.0	12.0	1.5	('D3', 'F3', 'A-3', 'B3', 'D4', 'F4', 'A-4', 'B4')
5	2.75	13.75	0.25	('B4',)
5	3.0	14.0	0.75	('F5',)
5	3.75	14.75	0.25	('D5',)
6	1.0	15.0	0.75	('B5',)
6	1.75	15.75	0.25	('F5',)
6	2.0	16.0	0.75	('D6',)
6	2.75	16.75	0.25	('B5',)
6	3.0	17.0	1.0	('F6',)
7	1.0	18.0	1.0	('F6',)
7	3.0	20.0	1.0	('D4', 'F4', 'A-4', 'B4', 'D5')
8	1.0	21.0	2.0	('D4', 'F4', 'A-4', 'B4', 'D5')
8	3.0	23.0	1.0	('E-4', 'G4', 'C5')
9	1.0	24.0	1.0	('C5', 'E-5', 'G5')
9	2.0	25.0	0.5	('G5',)
9	2.5	25.5	0.5	('F5',)
9	3.0	26.0	1.0	('E-3', 'G3', 'C4', 'E-5')
10	1.0	27.0	2.0	('F3', 'A-3', 'B3', 'D5')
10	3.0	29.0	1.0	('E-3', 'G3', 'C4', 'C5')
11	1.0	30.0	1.0	('G4', 'C5', 'E-5', 'G5')
11	2.0	31.0	0.5	('G5',)
11	2.5	31.5	0.5	('F5',)
11	3.0	32.0	1.0	('E-4', 'G4', 'C5', 'E-5')
12	1.0	33.0	2.0	('F4', 'A-4', 'B4', 'D5')
12	3.0	35.0	1.0	('E-4', 'G4', 'C5')
13	1.0	36.0	1.0	('G4', 'C5', 'E-5', 'G5')
13	2.0	37.0	0.5	('G4', 'G5')
13	2.5	37.5	0.5	('F4', 'F5')
13	3.0	38.0	1.0	('E-3', 'G3', 'C4', 'E-4', 'E-5')
14	1.0	39.0	1.0	('F3', 'A-3', 'B3', 'E-4', 'E-5')
14	2.0	40.0	1.0	('F3', 'A-3', 'B3', 'D4', 'D5')
14	3.0	41.0	1.0	('E-3', 'G3', 'C4', 'C5')
15	1.0	42.0	1.0	('D3', 'F3', 'C4', 'C5')
15	2.0	43.0	1.0	('D3', 'F3', 'B3', 'B4')
15	3.0	44.0	1.0	('C3', 'E-3', 'A-3', 'A-4')
16	1.0	45.0	1.0	('B2', 'D3', 'A-3', 'A-4')
16	2.0	46.0	1.0	('G3', 'G4')
17	2.0	49.0	1/3	('B3',)
17	7/3	148/3	1/3	('D4',)
17	8/3	149/3	1/3	('F4',)
17	3.0	50.0	1/3	('B2', 'D3', 'F3', 'A-3', 'A-4')
17	10/3	151/3	1/3	('B2', 'D3', 'F3', 'A-3', 'G4')
17	11/3	152/3	1/3	('B2', 'D3', 'F3', 'A-3', 'F4')
18	1.0	51.0	1.0	('C3', 'E-3', 'G3', 'E-4')
19	2.0	55.0	1/3	('F3',)
19	7/3	166/3	1/3	('A-3',)
19	8/3	167/3	1/3	('D4',)
19	3.0	56.0	1/3	('F2', 'A-2', 'D3', 'F4')
19	10/3	169/3	1/3	('F2', 'A-2', 'D3', 'E-4')
19	11/3	170/3	1/3	('F2', 'A-2', 'D3', 'D4')
20	1.0	57.0	1.0	('G2', 'C3', 'E-3', 'C4')
21	2.0	61.0	1/3	('G3',)
21	7/3	184/3	1/3	('B3',)
21	8/3	185/3	1/3	('D4',)
21	3.0	62.0	1/3	('G1', 'G2', 'F4')
21	10/3	187/3	1/3	('G1', 'G2', 'D4')
21	11/3	188/3	1/3	('G1', 'G2', 'B3')
22	1.0	63.0	1.5	('C2', 'E-2', 'G2', 'C3', 'E-3', 'G3', 'C4')
22	2.75	64.75	0.25	('C4',)
22	3.0	65.0	0.75	('G4',)
22	3.75	65.75	0.25	('E-4',)
23	1.0	66.0	0.75	('C5',)
23	1.75	66.75	0.25	('G4',)
23	2.0	67.0	0.75	('E-5',)
23	2.75	67.75	0.25	('C5',)
23	3.0	68.0	1.0	('C3', 'E-3', 'G3', 'G4', 'G5')
24	1.0	69.0	1.0	('B2', 'D3', 'G3', 'G4', 'G5')
24	2.75	70.75	0.25	('B3',)
24	3.0	71.0	0.75	('G4',)
24	3.75	71.75	0.25	('D4',)
25	1.0	72.0	0.75	('B4',)
25	1.75	72.75	0.25	('G4',)
25	2.0	73.0	0.75	('D5',)
25	2.75	73.75	0.25	('B4',)
25	3.0	74.0	1.0	('B2', 'D3', 'G3', 'G4', 'G5')
26	1.0	75.0	1.0	('C3', 'E-3', 'G3', 'G4', 'G5')
26	2.75	76.75	0.25	('E-4',)
26	3.0	77.0	0.75	('G4',)
26	3.75	77.75	0.25	('E-4',)
27	1.0	78.0	0.75	('C5',)
