measure_number	beat	offset	duration	notes
1	1.0	0.0	1.0	('F#1', 'F#2', 'A#3', 'C#4')
1	2.0	1.0	0.75	('F#1', 'F#2', 'A#3', 'C#4', 'F#4')
1	2.75	1.75	0.25	('F#1', 'F#2', 'B3', 'E#4', 'G#4')
2	1.0	2.0	1.0	('F#1', 'F#2', 'B3', 'E#4', 'G#4')
2	2.0	3.0	0.5	('F#1', 'F#2', 'C#4', 'F#4', 'A#4')
2	2.5	3.5	0.5	('F#1', 'F#2', 'C#4', 'E4', 'A#4')
3	1.0	4.0	0.5	('F#1', 'F#2', 'D#4', 'F#4', 'B4')
3	1.5	4.5	0.125	('F#1', 'F#2', 'D#4', 'F#4', 'B4', 'C#5')
3	1.625	4.625	0.125	('F#1', 'F#2', 'D#4', 'F#4', 'B4')
3	1.75	4.75	0.125	('F#1', 'F#2', 'D#4', 'F#4', 'A#4', 'B4')
3	1.875	4.875	0.125	('F#1', 'F#2', 'D#4', 'F#4', 'B4')
3	2.0	5.0	0.75	('F#1', 'F#2', 'E#4', 'G#4', 'D#5')
3	2.75	5.75	0.25	('F#1', 'F#2', 'E#4', 'G#4', 'C#5')
4	1.0	6.0	0.125	('F#1', 'F#2', 'B4')
4	1.125	6.125	0.125	('F#1', 'F#2', 'A#4')
4	1.25	6.25	0.125	('F#1', 'F#2', 'D#5')
4	1.375	6.375	0.125	('F#1', 'F#2', 'C#5')
4	1.5	6.5	0.5	('F#1', 'F#2', 'C#5')
5	4.0	7.0	0.75	('A#4',)
5	4.75	7.75	0.25	('B4',)
6	1.0	8.0	0.5	('F#2', 'C#5')
6	1.5	8.5	0.5	('F#3', 'C#5')
6	2.0	9.0	0.5	('A#3', 'C#4', 'F#4')
6	2.5	9.5	0.5	('F#3', 'C#4', 'F#4')
6	3.0	10.0	0.5	('B3', 'C#4', 'E#4')
6	3.5	10.5	0.5	('F#3', 'C#4', 'E#4')
6	4.0	11.0	0.5	('A#3', 'C#4', 'F#4')
6	4.5	11.5	0.5	('F#3', 'C#4', 'F#4')
7	1.0	12.0	0.5	('G#3', 'B3', 'C#4', 'E#4', 'B4')
7	1.5	12.5	0.5	('C#3', 'B3', 'C#4', 'E#4', 'B4')
7	2.0	13.0	0.5	('G#3', 'B3', 'C#4', 'E#4', 'B4')
7	2.5	13.5	0.5	('C#3', 'B3', 'C#4', 'E#4', 'B4')
7	3.0	14.0	0.5	('G#3', 'B3', 'C#4', 'E#4', 'B4')
7	3.5	14.5	0.5	('C#3', 'B3', 'C#4', 'E#4', 'B4')
7	4.0	15.0	0.5	('E#3', 'G#3', 'C#4', 'G#4')
7	4.5	15.5	0.5	('C#3', 'G#3', 'C#4', 'G#4')
8	1.0	16.0	0.5	('F#2', 'A#3', 'C#4', 'A#4')
8	1.5	16.5	0.5	('F#2', 'F#3', 'A#3', 'C#4', 'A#4')
8	2.0	17.0	0.5	('F#2', 'B2', 'D#4', 'D#5')
8	2.5	17.5	0.5	('F#2', 'F#3', 'D#4', 'D#5')
8	3.0	18.0	0.5	('F#2', 'A#2', 'C#4', 'C#5')
8	3.5	18.5	0.5	('F#2', 'F#3', 'C#4', 'C#5')
8	4.0	19.0	0.5	('F#2', 'D#3', 'F#4', 'F#5')
8	4.5	19.5	0.5	('F#2', 'F#3', 'F#4', 'F#5')
9	1.0	20.0	0.5	('F#2', 'C#3', 'E#4', 'E#5')
9	1.5	20.5	0.5	('F#2', 'F#3', 'E#4', 'E#5')
9	2.0	21.0	0.5	('F#2', 'B2', 'D#4', 'D#5')
9	2.5	21.5	0.5	('F#2', 'F#3', 'D#4', 'D#5')
9	3.0	22.0	0.5	('F#2', 'A#2', 'C#4', 'C#5')
9	3.5	22.5	0.5	('F#2', 'F#3', 'C#4', 'C#5')
9	4.0	23.0	0.25	('A#4',)
9	4.25	23.25	0.25	('B4',)
9	4.5	23.5	0.25	('A#4',)
9	4.75	23.75	0.25	('F#4',)
10	1.0	24.0	0.25	('B4',)
10	1.25	24.25	0.25	('C#5',)
10	1.5	24.5	0.25	('B4',)
10	1.75	24.75	0.25	('G#4',)
10	2.0	25.0	0.25	('C#3', 'E#4')
10	2.25	25.25	0.25	('E#3', 'E#4')
10	2.5	25.5	0.25	('G#3', 'E#4')
10	2.75	25.75	0.25	('B3', 'E#4')
10	3.0	26.0	1.0	('B2',)
10	4.0	27.0	0.25	('B4',)
10	4.25	27.25	0.25	('C#5',)
10	4.5	27.5	0.25	('B4',)
10	4.75	27.75	0.25	('G#4',)
11	1.0	28.0	0.25	('C#5',)
11	1.25	28.25	0.25	('D#5',)
11	1.5	28.5	0.25	('C#5',)
11	1.75	28.75	0.25	('A#4',)
11	2.0	29.0	0.25	('A#2', 'F#4')
11	2.25	29.25	0.25	('C#3', 'F#4')
11	2.5	29.5	0.25	('F#3', 'F#4')
11	2.75	29.75	0.25	('A#3', 'F#4')
11	3.0	30.0	1.0	('A#2',)
11	4.0	31.0	1/3	('F#2', 'F#5')
11	13/3	94/3	1/3	('G#2', 'E#5')
11	14/3	95/3	1/3	('A#2', 'D#5')
12	1.0	32.0	1/3	('B2', 'C#5')
12	4/3	97/3	1/3	('B2', 'B4')
12	5/3	98/3	1/3	('B2', 'A#4')
12	2.0	33.0	1/3	('B2', 'G#4')
12	7/3	100/3	1/3	('B2', 'F#4')
12	8/3	101/3	1/3	('B2', 'E#4')
12	3.0	34.0	1/3	('C#3', 'D#4')
12	10/3	103/3	1/3	('C#3', 'C#4')
12	11/3	104/3	1/3	('C#3', 'B#3')
12	4.0	35.0	1/3	('C#3', 'B3', 'C#4')
12	13/3	106/3	1/3	('C#3', 'B3', 'D#4')
12	14/3	107/3	1/3	('C#3', 'B3', 'E#4')
13	1.0	36.0	1.0	('F#3', 'A#3', 'C#4', 'F#4')
13	2.0	37.0	1.0	('C#3', 'G#3', 'C#4', 'E#4', 'G#4')
13	3.0	38.0	1.0	('F#2', 'F#3', 'C#4', 'F#4', 'A#4')
14	1.0	40.0	1.0	('F#3', 'A#3', 'C#4', 'F#4', 'A#4')
14	3.0	42.0	1.0	('B2', 'D#3', 'G#3', 'D#4', 'G#4', 'B4')
15	1.0	44.0	1.0	('C#3', 'C#4', 'E#4', 'G#4')
15	2.0	45.0	1.0	('F#2', 'C#4', 'F#4', 'A#4')
15	3.0	46.0	1.0	('C#2', 'C#4', 'G#4', 'B4')
16	1.0	48.0	1.0	('E#3', 'G#3', 'B3', 'C#4', 'G#4', 'B4')
16	3.0	50.0	1.0	('C#3', 'E#3', 'G#3', 'B3', 'C#4', 'E#4', 'G#4', 'C#5')
17	1.0	52.0	1.0	('F#3', 'A#3', 'C#4', 'F#4', 'A#4')
17	2.0	53.0	0.25	('C#5',)
17	2.25	53.25	0.25	('D#5',)
17	2.5	53.5	0.25	('C#5',)
17	2.75	53.75	0.25	('A#4',)
17	3.0	54.0	1.0	('F#5',)
17	4.0	55.0	1.0	('F#4', 'A#4', 'F#5')
18	1.0	56.0	1.0	('G#4', 'B4', 'F#5')
18	2.0	57.0	0.25	('G#4', 'B4', 'E#5')
18	2.25	57.25	0.125	('G#4', 'B4', 'E#5', 'F#5')
18	2.375	57.375	0.125	('G#4', 'B4', 'E#5')
18	2.5	57.5	0.125	('G#4', 'B4', 'D#5', 'E#5')
18	2.625	57.625	0.125	('G#4', 'B4', 'E#5')
18	2.75	57.75	0.25	('G#4', 'B4', 'F#5')
18	3.0	58.0	1.0	('G#4', 'B4', 'G#5')
18	4.0	59.0	1.0	('G#4', 'B4', 'E#5')
19	1.0	60.0	0.25	('G#4', 'A#4', 'C##5')
19	1.25	60.25	0.25	('G#4', 'A#4', 'B5')
19	1.5	60.5	0.25	('G#4', 'A#4', 'A#5')
19	1.75	60.75	0.25	('G#4', 'A#4', 'C##5')
