measure_number	beat	offset	duration	notes
1	1.0	0.0	2.0	('C3', 'G3', 'C4', 'E4')
1	3.0	2.0	0.25	('C3', 'G3', 'B3', 'D4')
1	3.25	2.25	0.25	('C3', 'G3', 'C4', 'E4')
1	3.5	2.5	0.25	('C3', 'G3', 'B3', 'D4')
1	3.75	2.75	0.25	('C3', 'G3', 'C4', 'E4')
1	4.0	3.0	0.5	('C3', 'G3', 'D4', 'F4')
1	4.5	3.5	0.5	('C3', 'G3', 'C4', 'E4')
2	1.0	4.0	1.0	('G2', 'G3', 'B3', 'D4')
2	2.0	5.0	1.0	('G2', 'G3', 'B3', 'G4')
3	1.0	8.0	2.0	('G2', 'B3', 'D4', 'F4')
3	3.0	10.0	0.25	('G2', 'B3', 'C#4', 'E4')
3	3.25	10.25	0.25	('G2', 'B3', 'D4', 'F4')
3	3.5	10.5	0.25	('G2', 'B3', 'C#4', 'E4')
3	3.75	10.75	0.25	('G2', 'B3', 'D4', 'F4')
3	4.0	11.0	0.5	('G2', 'B3', 'E4', 'G4')
3	4.5	11.5	0.5	('G2', 'B3', 'D4', 'F4')
4	1.0	12.0	1.0	('C3', 'G3', 'C4', 'E4')
4	2.0	13.0	1.0	('C3', 'G3', 'E4', 'C5')
5	1.0	16.0	1.0	('G3', 'E4', 'C5')
5	2.0	17.0	1.0	('C3', 'G3', 'E4', 'C5')
5	3.0	18.0	0.25	('D3', 'G3', 'F4', 'B4')
5	3.25	18.25	0.25	('D3', 'G3', 'F4', 'C5')
5	3.5	18.5	0.25	('D3', 'G3', 'F4', 'B4')
5	3.75	18.75	0.25	('D3', 'G3', 'F4', 'C5')
5	4.0	19.0	0.5	('G2', 'G3', 'F4', 'D5')
5	4.5	19.5	0.5	('G2', 'G3', 'F4', 'B4')
6	1.0	20.0	1.0	('G3', 'G4')
6	2.0	21.0	1.0	('C3', 'G3', 'E4', 'C5')
6	3.0	22.0	0.25	('D3', 'G3', 'F4', 'B4')
6	3.25	22.25	0.25	('D3', 'G3', 'F4', 'C5')
6	3.5	22.5	0.25	('D3', 'G3', 'F4', 'B4')
6	3.75	22.75	0.25	('D3', 'G3', 'F4', 'C5')
6	4.0	23.0	0.5	('G2', 'G3', 'F4', 'D5')
6	4.5	23.5	0.5	('G2', 'G3', 'F4', 'B4')
7	1.0	24.0	1.0	('E3', 'G3', 'G4')
7	2.0	25.0	1.0	('C3', 'G3', 'C5')
7	3.0	26.0	1.0	('F3', 'A3', 'C4', 'D4')
7	4.0	27.0	1.0	('D3', 'A3', 'C4', 'D4', 'A4')
8	1.0	28.0	1.0	('G3', 'B3', 'D4')
8	2.0	29.0	1.0	('G2', 'B3', 'G4')
8	3.0	30.0	1/3	('C3', 'C4', 'E4')
8	10/3	91/3	1/3	('G3', 'C4', 'E4')
8	11/3	92/3	1/3	('F#3', 'C4', 'E4')
8	4.0	31.0	1/3	('F3',)
8	13/3	94/3	1/3	('E3',)
8	14/3	95/3	1/3	('D3',)
9	1.0	32.0	1.0	('C3',)
9	2.0	33.0	1.0	('C3', 'G3', 'E4', 'G4')
9	3.0	34.0	0.25	('B2', 'G3', 'D4', 'G4')
9	3.25	34.25	0.25	('C3', 'G3', 'D4', 'G4')
9	3.5	34.5	0.25	('B2', 'G3', 'D4', 'G4')
9	3.75	34.75	0.25	('C3', 'G3', 'D4', 'G4')
9	4.0	35.0	0.5	('D3', 'G3', 'D4', 'F4')
9	4.5	35.5	0.5	('B2', 'G3', 'D4', 'F4')
10	1.0	36.0	1.0	('G2', 'G3', 'C4', 'E4')
10	2.0	37.0	1.0	('C3', 'G3', 'E4', 'G4')
10	3.0	38.0	0.25	('B2', 'G3', 'D4', 'G4')
10	3.25	38.25	0.25	('C3', 'G3', 'D4', 'G4')
10	3.5	38.5	0.25	('B2', 'G3', 'D4', 'G4')
10	3.75	38.75	0.25	('C3', 'G3', 'D4', 'G4')
10	4.0	39.0	0.5	('D3', 'G3', 'D4', 'F4')
10	4.5	39.5	0.5	('B2', 'G3', 'D4', 'F4')
11	1.0	40.0	1.0	('G2', 'G3', 'C4', 'E4')
11	2.0	41.0	1.0	('C3',)
11	3.0	42.0	1.0	('C3', 'A3', 'C4', 'E4', 'A4')
11	4.0	43.0	1.0	('F#2',)
12	1.0	44.0	1.0	('F#2', 'G3', 'C4', 'E4', 'G4')
12	2.0	45.0	1.0	('G2',)
12	3.0	46.0	1.0	('G2', 'D3', 'F3', 'G3', 'B3')
12	4.0	47.0	1.0	('G1', 'G2')
13	1.0	48.0	0.25	('C2', 'E2', 'G2', 'C3', 'C4')
13	1.25	48.25	0.25	('C2', 'E2', 'G2', 'C3', 'E4')
13	1.5	48.5	0.25	('C2', 'E2', 'G2', 'C3', 'G4')
13	1.75	48.75	0.25	('C2', 'E2', 'G2', 'C3', 'C5')
13	2.0	49.0	0.25	('C4', 'E4')
13	2.25	49.25	0.25	('C4', 'E5')
13	2.5	49.5	0.25	('C4', 'E4')
13	2.75	49.75	0.25	('C4', 'E5')
13	3.0	50.0	0.25	('C4', 'E4')
13	3.25	50.25	0.25	('C4', 'G4')
13	3.5	50.5	0.25	('C4', 'C5')
13	3.75	50.75	0.25	('C4', 'E5')
13	4.0	51.0	0.25	('E4', 'G4')
13	4.25	51.25	0.25	('E4', 'G5')
13	4.5	51.5	0.25	('E4', 'G4')
13	4.75	51.75	0.25	('E4', 'G5')
14	1.0	52.0	0.25	('E4', 'G4')
14	1.25	52.25	0.25	('E4', 'C5')
14	1.5	52.5	0.25	('E4', 'E5')
14	1.75	52.75	0.25	('E4', 'G5')
14	2.0	53.0	0.25	('G4', 'C5')
14	2.25	53.25	0.25	('G4', 'C6')
14	2.5	53.5	0.25	('G4', 'C5')
14	2.75	53.75	0.25	('G4', 'C6')
14	3.0	54.0	0.25	('G4', 'C5')
14	3.25	54.25	0.25	('G4', 'E5')
14	3.5	54.5	0.25	('G4', 'G5')
14	3.75	54.75	0.25	('G4', 'C6')
14	4.0	55.0	0.25	('C5', 'E5')
14	4.25	55.25	0.25	('C5', 'E6')
14	4.5	55.5	0.25	('C5', 'E5')
14	4.75	55.75	0.25	('C5', 'E6')
15	1.0	56.0	0.25	('C5', 'E5')
15	1.25	56.25	0.25	('C5', 'E6')
15	1.5	56.5	0.25	('B4', 'D5')
15	1.75	56.75	0.25	('B4', 'D6')
15	2.0	57.0	0.25	('B4', 'D5')
15	2.25	57.25	0.25	('B4', 'D6')
15	2.5	57.5	0.25	('A4', 'C5')
15	2.75	57.75	0.25	('A4', 'C6')
15	3.0	58.0	0.25	('A4', 'C5')
15	3.25	58.25	0.25	('A4', 'C6')
15	3.5	58.5	0.25	('G4', 'B4')
15	3.75	58.75	0.25	('G4', 'B5')
15	4.0	59.0	0.25	('G4', 'B4')
15	4.25	59.25	0.25	('G4', 'B5')
15	4.5	59.5	0.25	('F4', 'A4')
15	4.75	59.75	0.25	('F4', 'A5')
16	1.0	60.0	0.25	('F4', 'A4')
16	1.25	60.25	0.25	('F4', 'A5')
16	1.5	60.5	0.25	('E4', 'G4')
16	1.75	60.75	0.25	('E4', 'G5')
16	2.0	61.0	0.25	('E4', 'G4')
16	2.25	61.25	0.25	('E4', 'G5')
16	2.5	61.5	0.25	('D4', 'F4')
16	2.75	61.75	0.25	('D4', 'F5')
16	3.0	62.0	0.25	('D4', 'F4')
16	3.25	62.25	0.25	('D4', 'F5')
16	3.5	62.5	0.25	('C4', 'E4')
16	3.75	62.75	0.25	('C4', 'E5')
16	4.0	63.0	0.25	('C4', 'E4')
16	4.25	63.25	0.25	('C4', 'E5')
16	4.5	63.5	0.25	('B3', 'D4')
16	4.75	63.75	0.25	('B3', 'D5')
17	1.0	64.0	0.25	('C2', 'E2', 'G2', 'C3', 'C4')
17	1.25	64.25	0.25	('C2', 'E2', 'G2', 'C3', 'E4')
17	1.5	64.5	0.25	('C2', 'E2', 'G2', 'C3', 'G4')
17	1.75	64.75	0.25	('C2', 'E2', 'G2', 'C3', 'C5')
17	2.0	65.0	0.25	('C4', 'E4')
17	2.25	65.25	0.25	('C4', 'E5')
17	2.5	65.5	0.25	('C4', 'E4')
17	2.75	65.75	0.25	('C4', 'E5')
17	3.0	66.0	0.25	('C4', 'E4')
17	3.25	66.25	0.25	('C4', 'G4')
17	3.5	66.5	0.25	('C4', 'C5')
17	3.75	66.75	0.25	('C4', 'E5')
17	4.0	67.0	0.25	('E4', 'G4')
17	4.25	67.25	0.25	('E4', 'G5')
17	4.5	67.5	0.25	('E4', 'G4')
17	4.75	67.75	0.25	('E4', 'G5')
18	1.0	68.0	0.25	('E4', 'G4')
18	1.25	68.25	0.25	('E4', 'C5')
18	1.5	68.5	0.25	('E4', 'E5')
18	1.75	68.75	0.25	('E4', 'G5')
18	2.0	69.0	0.25	('G4', 'C5')
18	2.25	69.25	0.25	('G4', 'C6')
18	2.5	69.5	0.25	('G4', 'C5')
18	2.75	69.75	0.25	('G4', 'C6')
18	3.0	70.0	0.25	('G4', 'C5')
18	3.25	70.25	0.25	('G4', 'E5')
18	3.5	70.5	0.25	('G4', 'G5')
18	3.75	70.75	0.25	('G4', 'C6')
18	4.0	71.0	0.25	('C5', 'E5')
18	4.25	71.25	0.25	('C5', 'E6')
18	4.5	71.5	0.25	('C5', 'E5')
18	4.75	71.75	0.25	('C5', 'E6')
19	1.0	72.0	0.25	('C5', 'E5')
19	1.25	72.25	0.25	('C5', 'E6')
19	1.5	72.5	0.25	('B4', 'D5')
19	1.75	72.75	0.25	('B4', 'D6')
19	2.0	73.0	0.25	('G#4', 'D5')
19	2.25	73.25	0.25	('G#4', 'D6')
19	2.5	73.5	0.25	('A4', 'C5')
19	2.75	73.75	0.25	('A4', 'C6')
19	3.0	74.0	0.25	('E4', 'B4')
19	3.25	74.25	0.25	('E4', 'B5')
19	3.5	74.5	0.25	('F4', 'A4')
19	3.75	74.75	0.25	('F4', 'A5')
19	4.0	75.0	0.25	('B3', 'A4')
19	4.25	75.25	0.25	('B3', 'A5')
