measure_number	beat	offset	duration	notes
0	4.875	0.0	0.125	('E-3', 'E-4')
1	529/520	37/260	251/520	('F#2', 'F#3')
1	1.5	0.625	0.375	('F#2', 'F#3')
1	1.875	1.0	9/520	('F#2', 'F#3', 'E-4', 'A4', 'C5', 'E-5')
1	123/65	529/520	7/65	('F#1', 'F#2', 'E-4', 'A4', 'C5', 'E-5')
1	2.0	1.125	9/520	('F#1', 'F#2', 'E-4', 'A4', 'C5', 'E-5')
1	1049/520	297/260	511/520	('F#2', 'F#3', 'E-4', 'A4', 'C5', 'E-5')
1	3.0	2.125	9/520	('F#2', 'F#3', 'E-4', 'A4', 'C5', 'E-5')
1	1569/520	557/260	223/260	('F#2', 'F#3', 'E-4', 'A4', 'C5', 'E-5')
1	3.875	3.0	9/520	('F#2', 'F#3', 'A4', 'C5')
1	253/65	1569/520	7/65	('F#3', 'E-4', 'A4', 'C5')
1	4.0	3.125	9/520	('F#3', 'E-4', 'A4', 'C5')
1	2089/520	817/260	81/2080	('F#3', 'E-4', 'A4', 'C5')
1	649/160	509/160	3/52	('F#3', 'E-4', 'A4', 'C5', 'D5')
1	8557/2080	6737/2080	3/52	('F#3', 'E-4', 'A4', 'C5')
1	8677/2080	6857/2080	3/52	('F#3', 'E-4', 'A4', 'C5', 'D5')
1	8797/2080	6977/2080	3/52	('F#3', 'E-4', 'A4', 'C5')
1	8917/2080	7097/2080	3/52	('F#3', 'E-4', 'A4', 'C5', 'D5')
1	9037/2080	7217/2080	3/52	('F#3', 'E-4', 'A4', 'C5')
1	9157/2080	7337/2080	3/52	('F#3', 'E-4', 'A4', 'C5', 'D5')
1	9277/2080	7457/2080	3/52	('F#3', 'E-4', 'A4', 'C5')
1	9397/2080	7577/2080	3/52	('F#3', 'E-4', 'A4', 'C5', 'D5')
1	9517/2080	7697/2080	3/52	('F#3', 'E-4', 'A4', 'C5')
1	9637/2080	7817/2080	3/52	('F#3', 'E-4', 'A4', 'C5', 'D5')
1	9757/2080	7937/2080	3/52	('F#3', 'E-4', 'A4', 'C5')
1	9877/2080	8057/2080	3/2080	('F#3', 'E-4', 'A4', 'C5')
1	4.75	3.875	0.125	('F#3', 'E-4', 'A4', 'B4')
1	4.875	4.0	0.125	('F#3', 'E-4', 'A4', 'C5')
1	1.0	4.125	9/520	('F#3', 'E-4')
2	1.0	1077/260	0.5	('G3', 'D4', 'G4', 'B4')
2	2.0	1337/260	0.5	('C3', 'G3', 'C4', 'E-4', 'G4', 'C5')
2	3.0	1597/260	1/20	('B1',)
2	61/20	161/26	1/20	('D2',)
2	31/10	1623/260	1/20	('G2',)
2	63/20	409/65	1/20	('B2',)
2	16/5	1649/260	1/20	('D3',)
2	3.25	831/130	1/20	('G3',)
2	33/10	335/52	1/20	('B3',)
2	67/20	422/65	1/20	('D4',)
2	17/5	1701/260	1/20	('G4',)
2	69/20	857/130	1/20	('B4',)
2	3.5	1727/260	0.5	('B1', 'G2', 'B2', 'D4', 'G4', 'D5')
2	1.375	4429/520	0.125	('A-3', 'A-4')
3	529/520	4503/520	251/520	('B2', 'B3')
3	1.5	2377/260	0.375	('B2', 'B3')
