measure_number	beat	offset	duration	notes
1	1.0	0.0	1.0	('D2',)
1	2.0	1.0	1.0	('D2',)
1	3.0	2.0	1.0	('D2',)
2	1.0	3.0	1.0	('D2', 'C4', 'F#4', 'A4')
2	2.0	4.0	1.0	('D2', 'C4', 'F#4', 'A4')
2	3.0	5.0	1.0	('D2', 'C4', 'F#4', 'A4')
3	1.0	6.0	1.0	('D2', 'B3', 'D4', 'A4')
3	2.0	7.0	1.0	('D2', 'B3', 'D4', 'G4')
3	3.0	8.0	1.0	('D2', 'B3', 'D4', 'G4')
4	1.0	9.0	1.0	('D2', 'B3', 'D4', 'G4')
4	2.0	10.0	1.0	('D2', 'B3', 'D4', 'G4')
4	3.0	11.0	0.5	('D2', 'G3', 'B3', 'F#4')
4	3.5	11.5	0.5	('D2', 'G3', 'B3', 'E4')
5	1.0	12.0	1.0	('D2', 'D4')
5	2.0	13.0	1.0	('D4',)
5	3.0	14.0	1.0	('C#4',)
6	1.0	15.0	1.0	('F#2', 'B3')
6	2.0	16.0	1.0	('D2', 'F#2', 'B3')
6	3.0	17.0	1.0	('D2', 'F#2', 'A3')
6	1.0	18.0	1.0	('D2',)
7	1.0	18.0	1.0	('A2', 'A3')
7	2.0	19.0	1.0	('D2', 'A2', 'A3')
7	3.0	20.0	1.0	('D2', 'A2', 'A3')
7	1.0	21.0	1.0	('D2',)
8	1.0	21.0	1.0	('D3', 'A3', 'D4')
8	2.0	22.0	1.0	('D2', 'A3', 'D4')
8	3.0	23.0	1.0	('D2', 'A3', 'D4')
8	1.0	24.0	1.0	('D2',)
9	1.0	24.0	1.0	('C#4', 'D4', 'E4')
9	2.0	25.0	1.0	('D2', 'C#4', 'D4', 'E4')
9	3.0	26.0	0.5	('D2', 'D4', 'F#4')
9	3.5	26.5	0.5	('D2', 'D4', 'E4', 'G4')
9	1.0	27.0	1.0	('D2',)
10	1.0	27.0	1.0	('F#3', 'D4', 'F#4')
10	2.0	28.0	1.0	('D2', 'F#3')
10	3.0	29.0	1.0	('D2', 'F#3')
10	1.0	30.0	1.0	('D2',)
11	1.0	30.0	1.0	('G3',)
11	2.0	31.0	1.0	('D3', 'G3')
11	3.0	32.0	1.0	('D3', 'G3')
11	1.0	33.0	1.0	('D3',)
12	1.0	33.0	1.0	('B3', 'C5', 'A5')
12	2.0	34.0	1.0	('D3', 'B3', 'C5', 'A5')
12	3.0	35.0	1.0	('D3', 'B3', 'C5', 'A5')
12	1.0	36.0	1.0	('D3',)
13	1.0	36.0	1.0	('E4', 'B4', 'A5')
13	2.0	37.0	1.0	('D3', 'E4', 'B4', 'G5')
13	3.0	38.0	1.0	('D3', 'E4', 'B4', 'G5')
13	1.0	39.0	1.0	('D3',)
14	1.0	39.0	1.0	('C#4', 'G4', 'G5')
14	2.0	40.0	1.0	('D3', 'C#4', 'G4', 'G5')
14	3.0	41.0	0.5	('D3', 'C#4', 'G4', 'F#5')
14	3.5	41.5	0.5	('D3', 'C#4', 'G4', 'E5')
14	1.0	42.0	1.0	('D3',)
15	1.0	42.0	1.0	('D4', 'G4', 'D5')
15	2.0	43.0	1.0	('D3', 'D4', 'G4', 'D5')
15	3.0	44.0	1.0	('D3', 'D4', 'G4', 'C#5')
15	1.0	45.0	1.0	('D3',)
16	1.0	45.0	1.0	('F#3', 'G4', 'B4')
16	2.0	46.0	1.0	('D3', 'F#3', 'G4', 'B4')
16	3.0	47.0	1.0	('D3', 'F#3', 'G4', 'A4')
16	1.0	48.0	1.0	('D3',)
17	1.0	48.0	1.0	('A3', 'F#4', 'A4')
17	2.0	49.0	1.0	('D3', 'A3', 'F#4', 'A4')
17	3.0	50.0	1.0	('D3', 'A3', 'F#4', 'A4')
17	1.0	51.0	1.0	('D3',)
18	1.0	51.0	1.0	('D4', 'A4', 'D5')
18	2.0	52.0	1.0	('D3', 'A4', 'D5')
18	3.0	53.0	1.0	('D3', 'A4', 'D5')
18	1.0	54.0	1.0	('D3',)
19	1.0	54.0	1.0	('D3', 'C#5', 'E5')
19	2.0	55.0	1.0	('D3', 'C#5', 'E5')
19	3.0	56.0	0.5	('D3', 'D5', 'F#5')
19	3.5	56.5	0.5	('D3', 'E5', 'G5')
19	1.0	57.0	1.0	('D3',)
20	1.0	57.0	1.0	('D3', 'D5', 'F#5')
20	2.0	58.0	1.0	('D3',)
20	3.0	59.0	1.0	('D3',)
20	1.0	60.0	1.0	('D3',)
21	1.0	60.0	1.0	('D3', 'A3', 'D4')
21	2.0	61.0	1.0	('D3', 'A3', 'D4')
21	3.0	62.0	1.0	('D3', 'A3', 'D4')
21	1.0	63.0	3.0	('F#2',)
22	1.0	63.0	1.0	('D3', 'A3', 'D4')
22	2.0	64.0	1.0	('D3', 'B3', 'E4')
22	3.0	65.0	1.0	('D3', 'C4', 'F#4')
22	1.0	66.0	1.0	('F#2',)
23	1.0	66.0	1.0	('D3', 'D4', 'A4')
23	2.0	67.0	1.0	('G2', 'D3', 'D4', 'G4')
23	3.0	68.0	1.0	('A2', 'E3', 'D4', 'G4')
23	1.0	69.0	3.0	('B2',)
24	1.0	69.0	1.0	('E3', 'D4', 'G4')
24	2.0	70.0	1.0	('E3', 'D4', 'G4')
24	3.0	71.0	1.0	('G3', 'C4', 'F#4')
24	1.0	72.0	2.0	('B2',)
25	1.0	72.0	1.0	('F#3', 'B3', 'F#4')
25	2.0	73.0	1.0	('D3', 'B3', 'E4')
25	3.0	74.0	1.0	('A2', 'D3', 'B3', 'D4')
25	1.0	75.0	2.0	('G2',)
26	1.0	75.0	1.0	('D3', 'D4')
26	2.0	76.0	1.0	('D3', 'C#4')
25	3.0	77.0	1.0	('G#2',)
26	3.0	77.0	1.0	('D3', 'A3')
25	1.0	78.0	2.0	('A2',)
27	1.0	78.0	0.5	('F#2', 'D3', 'A3')
27	1.5	78.5	0.5	('F#2', 'D3', 'D4')
27	2.0	79.0	0.5	('F#2', 'D3', 'F#4')
27	2.5	79.5	0.5	('F#2', 'D3', 'A4')
25	3.0	80.0	1.0	('A2',)
27	3.0	80.0	0.5	('F#2', 'D3', 'D5')
27	3.5	80.5	0.5	('F#2', 'D3', 'F#5')
25	1.0	81.0	1.0	('D3',)
28	1.0	81.0	0.5	('F#2', 'D3', 'A5')
28	1.5	81.5	0.5	('F#2', 'D3', 'F#5')
28	2.0	82.0	1/3	('G2', 'D3', 'D5')
28	7/3	247/3	1/3	('G2', 'D3', 'A4')
28	8/3	248/3	1/3	('G2', 'D3', 'F#4')
28	3.0	83.0	1/3	('A2', 'D3', 'A4')
28	10/3	250/3	1/3	('A2', 'D3', 'G4')
28	11/3	251/3	1/3	('A2', 'D3', 'E4')
29	1.0	84.0	1.0	('B2', 'D3', 'D4', 'D5')
29	2.0	85.0	1.0	('B2', 'D3', 'D4', 'D5')
29	3.0	86.0	1.0	('B2', 'D3', 'D4', 'D5')
30	1.0	87.0	1.0	('B2', 'D3', 'D4', 'D5')
30	2.0	88.0	1.0	('B2', 'D3', 'E4', 'E5')
30	3.0	89.0	1.0	('A2', 'D3', 'F#4', 'F#5')
31	1.0	90.0	1.0	('G2', 'D3', 'A4', 'A5')
31	2.0	91.0	1.0	('G2', 'D3', 'G4', 'G5')
31	3.0	92.0	1.0	('G#2', 'E3', 'G4', 'G5')
32	1.0	93.0	1.0	('A2', 'E3', 'G4', 'G5')
32	2.0	94.0	1.0	('A2', 'E3', 'G4', 'G5')
32	3.0	95.0	1.0	('A2', 'G3', 'F#4', 'F#5')
33	1.0	96.0	1.0	('D3', 'F#3', 'F#4', 'F#5')
33	2.0	97.0	1.0	('D3', 'E4', 'E5')
33	3.0	98.0	1.0	('D3', 'D4', 'D5')
34	1.0	99.0	1.0	('D3', 'D4', 'D5')
34	2.0	100.0	1.0	('D3', 'C#4', 'C#5')
34	3.0	101.0	1.0	('F#2', 'D3', 'A3', 'A4')
35	1.0	102.0	0.5	('G2', 'D3', 'A3', 'A4')
35	1.5	102.5	0.5	('G2', 'D3', 'D4')
35	2.0	103.0	0.5	('G2', 'D3', 'F#4')
35	2.5	103.5	0.5	('G2', 'D3', 'A4')
35	3.0	104.0	0.5	('G#2', 'E3', 'D5')
35	3.5	104.5	0.5	('G#2', 'E3', 'F#5')
36	1.0	105.0	1.0	('A2', 'E3', 'A4', 'A5')
36	2.0	106.0	1.0	('A2', 'E3', 'G4', 'G5')
36	3.0	107.0	1.0	('A2', 'G3', 'F#4', 'F#5')
37	1.0	108.0	1.0	('D3', 'F#3', 'F#4', 'F#5')
37	2.0	109.0	1.0	('E4', 'E5')
37	3.0	110.0	1.0	('D4', 'D5')
38	1.0	111.0	1.0	('D3', 'A3', 'D4', 'D5')
38	2.0	112.0	1.0	('D3', 'A3', 'C#4', 'C#5')
38	3.0	113.0	1.0	('D3', 'A3', 'E4', 'E5')
39	1.0	114.0	1.0	('C#3', 'A3', 'D4', 'D5')
39	2.0	115.0	1.0	('C#3', 'A3')
39	3.0	116.0	1.0	('C#3', 'A3')
40	1.0	117.0	3.0	('B2', 'E3', 'F#4', 'B4')
41	1.0	120.0	1.0	('A2', 'E3', 'E4', 'A4')
41	2.0	121.0	1.0	('E4', 'A4')
41	3.0	122.0	1.0	('E4', 'A4')
42	1.0	123.0	1.0	('A3', 'D4', 'E4', 'A4')
42	2.0	124.0	0.5	('A3', 'E4', 'G#4')
42	2.5	124.5	0.5	('A3', 'E4', 'B4')
42	3.0	125.0	1.0	('A3', 'E4', 'D5')
43	1.0	126.0	1.0	('G#3', 'E4', 'D5')
43	2.0	127.0	1.0	('G#3', 'E4', 'C#5')
43	3.0	128.0	1.0	('G#3', 'E4')
44	1.0	129.0	3.0	('F#3', 'B3', 'C#5', 'F#5')
45	1.0	132.0	1.0	('E3', 'B3', 'B4', 'E5')
45	2.0	133.0	1.0	('B4', 'E5')
45	3.0	134.0	1.0	('B4', 'E5')
46	1.0	135.0	1.0	('D3', 'A3', 'A4', 'E5')
46	2.0	136.0	0.5	('D3', 'A3', 'D#5')
46	2.5	136.5	0.5	('D3', 'A3', 'F#5')
46	3.0	137.0	1.0	('D3', 'A3', 'A5')
47	1.0	138.0	1.0	('C#3', 'A3', 'A5')
47	2.0	139.0	1.0	('C#3', 'A3', 'G#5')
47	3.0	140.0	1.0	('C#3', 'A3')
48	1.0	141.0	0.5	('B2', 'E3', 'F#4')
48	1.5	141.5	0.5	('B2', 'E3', 'F#4', 'B4')
48	2.0	142.0	0.5	('B2', 'E3', 'F#4', 'A#4')
48	2.5	142.5	0.5	('B2', 'E3', 'F#4', 'B4')
48	3.0	143.0	0.5	('B2', 'E3', 'F#4', 'C#5')
48	3.5	143.5	0.5	('B2', 'E3', 'F#4', 'B4')
49	1.0	144.0	0.5	('A2', 'E3', 'F#4', 'A4')
49	1.5	144.5	0.5	('A2', 'E3', 'E4', 'A4')
49	2.0	145.0	0.5	('D#4', 'A4')
49	2.5	145.5	0.5	('E4', 'A4')
49	3.0	146.0	0.5	('F#4', 'A4')
49	3.5	146.5	0.5	('E4', 'A4')
50	1.0	147.0	0.5	('A3', 'D4', 'E4', 'G#4')
50	1.5	147.5	0.5	('A3', 'D4', 'E4', 'A4')
50	2.0	148.0	0.5	('A3', 'E4', 'B4')
50	2.5	148.5	0.5	('A3', 'E4', 'C#5')
50	3.0	149.0	0.5	('A3', 'E4', 'D5')
50	3.5	149.5	0.5	('A3', 'E4', 'E5')
51	1.0	150.0	0.5	('G#3', 'E4', 'D5')
51	1.5	150.5	0.5	('G#3', 'E4', 'C#5')
51	2.0	151.0	0.5	('G#3', 'E4', 'B4')
51	2.5	151.5	0.5	('G#3', 'E4', 'A4')
51	3.0	152.0	0.5	('G#3', 'E4', 'G#4')
51	3.5	152.5	0.5	('G#3', 'E4', 'A4')
52	1.0	153.0	0.5	('F#3', 'A3', 'B3', 'C#5')
52	1.5	153.5	0.5	('F#3', 'A3', 'B3', 'C#5', 'F#5')
52	2.0	154.0	0.5	('F#3', 'A3', 'B3', 'C#5', 'E#5')
52	2.5	154.5	0.5	('F#3', 'A3', 'B3', 'C#5', 'F#5')
52	3.0	155.0	0.5	('F#3', 'A3', 'B3', 'C#5', 'G#5')
52	3.5	155.5	0.5	('F#3', 'A3', 'B3', 'C#5', 'F#5')
53	1.0	156.0	0.5	('E3', 'G#3', 'B3', 'C#5', 'E5')
53	1.5	156.5	0.5	('E3', 'G#3', 'B3', 'B4', 'E5')
53	2.0	157.0	0.5	('A#4', 'E5')
53	2.5	157.5	0.5	('B4', 'E5')
53	3.0	158.0	0.5	('C#5', 'E5')
53	3.5	158.5	0.5	('B4', 'E5')
54	1.0	159.0	0.5	('F#2', 'A2', 'B2', 'A4', 'D#5')
54	1.5	159.5	0.5	('F#2', 'A2', 'B2', 'A4', 'E5')
54	2.0	160.0	0.5	('F#2', 'A2', 'B2', 'F#5')
54	2.5	160.5	0.5	('F#2', 'A2', 'B2', 'G#5')
54	3.0	161.0	0.5	('F#2', 'A2', 'B2', 'A5')
54	3.5	161.5	0.5	('F#2', 'A2', 'B2', 'B5')
55	1.0	162.0	0.5	('E2', 'G#2', 'B2', 'A5')
55	1.5	162.5	0.5	('E2', 'G#2', 'B2', 'G#5')
55	2.0	163.0	0.5	('F#5',)
55	2.5	163.5	0.5	('E5',)
55	3.0	164.0	0.5	('D#5',)
55	3.5	164.5	0.5	('E5',)
56	1.0	165.0	0.5	('F#3', 'A3', 'B3', 'D#5')
56	1.5	165.5	0.5	('F#3', 'A3', 'B3', 'E5')
56	2.0	166.0	0.5	('F#3', 'A3', 'B3', 'F#5')
56	2.5	166.5	0.5	('F#3', 'A3', 'B3', 'G#5')
56	3.0	167.0	0.5	('F#3', 'A3', 'B3', 'A5')
56	3.5	167.5	0.5	('F#3', 'A3', 'B3', 'B5')
57	1.0	168.0	0.5	('E3', 'G#3', 'B3', 'A5')
57	1.5	168.5	0.5	('E3', 'G#3', 'B3', 'G#5')
57	2.0	169.0	0.5	('F#5',)
57	2.5	169.5	0.5	('E5',)
57	3.0	170.0	0.5	('D#5',)
57	3.5	170.5	0.5	('E5',)
58	1.0	171.0	0.5	('D#5',)
58	1.5	171.5	0.5	('E5',)
58	2.0	172.0	0.5	('F#5',)
58	2.5	172.5	0.5	('G#5',)
58	3.0	173.0	0.5	('A5',)
58	3.5	173.5	0.5	('B5',)
59	1.0	174.0	0.5	('A5',)
59	1.5	174.5	0.5	('G#5',)
59	2.0	175.0	0.5	('F#5',)
59	2.5	175.5	0.5	('E5',)
59	3.0	176.0	0.5	('D#5',)
59	3.5	176.5	0.5	('C#5',)
60	1.0	177.0	0.5	('B4',)
60	1.5	177.5	0.5	('A4',)
60	2.0	178.0	0.5	('G#4',)
60	2.5	178.5	0.5	('F#4',)
60	3.0	179.0	0.5	('E4',)
60	3.5	179.5	0.5	('D#4',)
61	1.0	180.0	1.0	('E4',)
61	2.0	181.0	1.0	('C#3', 'E4')
61	3.0	182.0	1.0	('C#3', 'E4')
62	1.0	183.0	1.0	('E4',)
62	2.0	184.0	1.0	('F#2', 'E4')
62	3.0	185.0	1.0	('F#2', 'E4')
63	1.0	186.0	1.0	('G#3', 'B3', 'E#4')
63	2.0	187.0	1.0	('C#2', 'G#3', 'B3', 'E#4')
63	3.0	188.0	1.0	('C#2', 'G#3', 'B3', 'E#4')
64	1.0	189.0	1.0	('A3', 'C#4', 'F#4')
64	2.0	190.0	1.0	('F#1', 'A3', 'C#4', 'F#4')
64	3.0	191.0	1.0	('F#1', 'A3', 'C#4', 'F#4')
65	1.0	192.0	1.0	('B3', 'E#4', 'G#4')
65	2.0	193.0	1.0	('F#3', 'B3', 'E#4', 'G#4')
65	3.0	194.0	1.0	('F#3', 'B3', 'E#4', 'G#4')
66	1.0	195.0	1.0	('C#4', 'F#4', 'A4')
66	2.0	196.0	1.0	('B2', 'C#4', 'F#4', 'A4')
66	3.0	197.0	1.0	('B2', 'C#4', 'F#4', 'A4')
67	1.0	198.0	1.0	('C#4', 'E4', 'G4', 'A#4')
67	2.0	199.0	1.0	('E3', 'C#4', 'E4', 'G4', 'A#4')
67	3.0	200.0	1.0	('E2', 'C#4', 'E4', 'G4', 'A#4')
68	1.0	201.0	0.5	('A2', 'D4', 'F#4', 'B4')
68	1.5	201.5	0.5	('C#4', 'D4', 'F#4', 'B4')
68	2.0	202.0	0.5	('B3', 'D4', 'F#4', 'C#5')
68	2.5	202.5	0.5	('A3', 'D4', 'F#4', 'C#5')
68	3.0	203.0	0.5	('G#3', 'D4', 'F#4', 'D5')
68	3.5	203.5	0.5	('F#3', 'D4', 'F#4', 'D5')
69	1.0	204.0	1.0	('E#3', 'C#4', 'E4', 'A4')
69	2.0	205.0	1.0	('C#3', 'E#3', 'C#4', 'E4', 'A4')
69	3.0	206.0	1.0	('C#3', 'E#3', 'B3', 'D4', 'G#4')
70	1.0	207.0	0.5	('F#3', 'C#4', 'A4')
70	1.5	207.5	0.5	('F#3', 'C#5')
70	2.0	208.0	0.5	('C#3', 'F#3', 'B4')
70	2.5	208.5	0.5	('C#3', 'F#3', 'A4')
70	3.0	209.0	0.5	('C#3', 'F#3', 'G#4')
70	3.5	209.5	0.5	('C#3', 'F#3', 'F#4')
71	1.0	210.0	1.0	('E#3', 'G#3', 'E#4')
71	2.0	211.0	1.0	('C#3', 'E#3', 'G#3', 'E#4')
71	3.0	212.0	1.0	('C#3', 'E#3', 'G#3', 'E#4')
72	1.0	213.0	1.0	('F#3', 'A3', 'F#4')
72	2.0	214.0	1.0	('C#3', 'F#3', 'A3', 'F#4')
72	3.0	215.0	1.0	('C#3', 'F#3', 'A3', 'F#4')
73	1.0	216.0	1.0	('F#3', 'B3', 'E#4', 'G#4')
73	2.0	217.0	1.0	('D3', 'F#3', 'B3', 'E#4', 'G#4')
73	3.0	218.0	1.0	('D3', 'F#3', 'B3', 'E#4', 'G#4')
74	1.0	219.0	1.0	('F#3', 'B#3', 'F#4', 'A4')
74	2.0	220.0	1.0	('D3', 'F#3', 'B#3', 'F#4', 'A4')
74	3.0	221.0	1.0	('D3', 'F#3', 'B#3', 'F#4', 'A4')
75	1.0	222.0	0.5	('C#3', 'E#3', 'F#4', 'B4')
75	1.5	222.5	0.5	('C#3', 'G#3', 'F#4', 'B4')
75	2.0	223.0	0.5	('C#3', 'E#3', 'F#4', 'B4')
75	2.5	223.5	0.5	('C#3', 'G#3', 'F#4', 'B4')
75	3.0	224.0	0.5	('C#3', 'E#3', 'F#4', 'B4')
75	3.5	224.5	0.5	('C#3', 'G#3', 'F#4', 'B4')
76	1.0	225.0	0.5	('C#3', 'E#3', 'F#4', 'B#4')
76	1.5	225.5	0.5	('C#3', 'G#3', 'F#4', 'B#4')
76	2.0	226.0	0.5	('C#3', 'E#3', 'F#4', 'B#4')
76	2.5	226.5	0.5	('C#3', 'G#3', 'F#4', 'B#4')
76	3.0	227.0	0.5	('D3', 'F#3', 'F#4', 'B#4')
76	3.5	227.5	0.5	('D3', 'G#3', 'F#4', 'B#4')
77	1.0	228.0	0.5	('C#3', 'E#3', 'E#4', 'C#5')
77	1.5	228.5	0.5	('C#3', 'G#3', 'G#4', 'C#5')
77	2.0	229.0	0.5	('C#3', 'E#3', 'E#4', 'C#5')
77	2.5	229.5	0.5	('C#3', 'G#3', 'G#4', 'C#5')
77	3.0	230.0	0.5	('D3', 'F#3', 'E#4', 'C#5')
77	3.5	230.5	0.5	('D3', 'G#3', 'G#4', 'C#5')
78	1.0	231.0	0.5	('C#3', 'E#3', 'E#4', 'C#5')
78	1.5	231.5	0.5	('C#3', 'G#3', 'G#4', 'C#5')
78	2.0	232.0	0.5	('C#3', 'E#3', 'E#4', 'C#5')
78	2.5	232.5	0.5	('C#3', 'G#3', 'G#4', 'C#5')
78	3.0	233.0	0.5	('D3', 'F#3', 'F#4', 'B#4')
78	3.5	233.5	0.5	('D3', 'G#3', 'G#4', 'B#4')
79	1.0	234.0	0.5	('C#3', 'E#3', 'E#4', 'C#5')
79	1.5	234.5	0.5	('C#3', 'G#3', 'G#4', 'C#5')
79	2.0	235.0	0.5	('C#3', 'E#3', 'E#4', 'C#5')
79	2.5	235.5	0.5	('C#3', 'G#3', 'G#4', 'C#5')
79	3.0	236.0	0.5	('C#3', 'E#3', 'F#4', 'B#4')
79	3.5	236.5	0.5	('C#3', 'G#3', 'G#4', 'B#4')
80	1.0	237.0	0.5	('C#3', 'E#3', 'E#4', 'C#5')
80	1.5	237.5	0.5	('C#3', 'G#3', 'G#4', 'C#5')
80	2.0	238.0	0.5	('C#3', 'E#3', 'E#4', 'C#5')
80	2.5	238.5	0.5	('C#3', 'G#3', 'G#4', 'C#5')
80	3.0	239.0	0.5	('A#2', 'E#3', 'F#4', 'B#4')
80	3.5	239.5	0.5	('A#2', 'G#3', 'G#4', 'B#4')
81	1.0	240.0	0.5	('B2', 'E#3', 'E#4', 'C#5')
