measure_number	beat	offset	duration	notes
0	2.5	0.0	0.5	('F2', 'C3', 'F3', 'A3', 'C4', 'F4', 'A4')
1	1.0	0.5	1.0	('F2', 'C3', 'F3', 'C4', 'F4', 'A4', 'C5')
1	2.5	2.0	1/6	('C5',)
1	8/3	13/6	1/6	('B4',)
1	17/6	7/3	1/6	('D5',)
2	1.0	2.5	1.0	('C5',)
2	2.5	4.0	0.5	('F2', 'C3', 'F3', 'C4', 'F4', 'A4')
3	1.0	4.5	1.0	('E2', 'C3', 'E3', 'C4', 'G4', 'B-4')
3	2.5	6.0	1/6	('B-4',)
3	8/3	37/6	1/6	('A4',)
3	17/6	19/3	1/6	('C5',)
4	1.0	6.5	1.0	('B-4',)
4	2.5	8.0	0.5	('B-4',)
5	1.0	8.5	0.25	('F3', 'A3', 'C4', 'A4')
5	1.25	8.75	0.25	('F3', 'A3', 'C4', 'C5')
5	1.5	9.0	0.5	('F3', 'A3', 'C4', 'F5')
5	2.0	9.5	0.5	('G3', 'B-3', 'C4', 'F5')
5	2.5	10.0	0.5	('G3', 'B-3', 'C4', 'E5')
6	1.0	10.5	0.5	('A3', 'C4', 'F4', 'F5')
6	1.5	11.0	0.5	('A3', 'C4', 'F4', 'A5')
6	2.0	11.5	0.5	('B-3', 'D4', 'F4', 'G4', 'A5')
6	2.5	12.0	0.5	('B-3', 'D4', 'F4', 'G4', 'G5')
7	1.0	12.5	0.5	('C4', 'F4', 'A4', 'G5')
7	1.5	13.0	0.5	('C4', 'F4', 'A4', 'A5')
7	2.0	13.5	0.5	('E-4', 'F4', 'A4', 'C5', 'A5')
7	2.5	14.0	0.25	('E-4', 'F4', 'A4', 'C5', 'B-5')
7	2.75	14.25	0.25	('E-4', 'F4', 'A4', 'C5', 'C6')
8	1.0	14.5	0.5	('D4', 'F4', 'B-4', 'C6')
8	1.5	15.0	0.5	('D4', 'F4', 'B-4', 'B-5')
9	1.0	16.5	0.5	('D4', 'F4', 'B-4', 'B-5')
9	1.5	17.0	0.5	('D4', 'F4', 'B-4', 'A5', 'B-5', 'D6')
9	2.0	17.5	0.5	('E4', 'G4', 'C5', 'D6')
9	2.5	18.0	0.25	('E4', 'G4', 'C5', 'C6')
9	2.75	18.25	0.25	('E4', 'G4', 'C5', 'B-5')
10	1.0	18.5	0.5	('F4', 'A4', 'C5', 'A5', 'B-5', 'C6')
10	1.5	19.0	0.5	('F4', 'A4', 'C5', 'A5')
10	2.0	19.5	0.375	('B-3', 'D4', 'G4', 'A5')
10	2.375	19.875	0.125	('B-3', 'D4', 'G4', 'G5')
10	2.5	20.0	0.375	('B-3', 'D4', 'G4', 'B-5')
