measure_number	beat	offset	duration	notes
1	1.0	0.0	1.0	('C2', 'E-2', 'G2', 'C3', 'E-3', 'G3', 'C4')
1	2.0	1.0	0.375	('C2', 'E-2', 'G2', 'C3', 'E-3', 'G3', 'C4')
1	2.375	1.375	0.125	('E-3', 'G3', 'C4')
1	2.5	1.5	0.375	('D3', 'G3', 'B3', 'D4')
1	2.875	1.875	0.125	('C3', 'G3', 'C4', 'E-4')
1	3.0	2.0	1.0	('F#3', 'A3', 'C4', 'E-4')
1	4.0	3.0	0.5	('G3', 'B3', 'D4')
1	4.875	3.875	0.125	('A-2',)
2	1.0	4.0	1.0	('A-3', 'B3', 'D4', 'F4')
2	2.0	5.0	0.375	('A-3', 'B3', 'D4', 'F4')
2	2.375	5.375	0.125	('A-3', 'B3', 'D4', 'F4')
2	2.5	5.5	0.375	('G3', 'B3', 'D4', 'G4')
2	2.875	5.875	0.125	('F3', 'B3', 'D4', 'A-4')
2	3.0	6.0	1.0	('E-3', 'B3', 'D4', 'A-4')
2	4.0	7.0	0.5	('E-3', 'C4', 'E-4', 'G4')
2	4.875	7.875	0.125	('E-3',)
3	1.0	8.0	1.0	('E-4', 'F#4', 'A4', 'C5')
3	2.0	9.0	0.375	('E-4', 'F#4', 'A4', 'C5')
3	2.375	9.375	0.125	('E-4', 'F#4', 'A4', 'C5')
3	2.5	9.5	0.375	('D4', 'F#4', 'A4', 'D5')
3	2.875	9.875	0.125	('C4', 'F#4', 'A4', 'E-5')
3	3.0	10.0	1.0	('C4', 'F#4', 'A4', 'E-5')
3	4.0	11.0	0.25	('B3', 'D4', 'G4', 'D5')
3	4.375	11.375	0.125	('E-4', 'F#4', 'A4', 'C5')
3	4.5	11.5	0.375	('D4', 'F#4', 'A4', 'D5')
3	4.875	11.875	0.125	('C4', 'F#4', 'A4', 'E-5')
4	1.0	12.0	1.0	('C4', 'F#4', 'A4', 'E-5')
4	2.0	13.0	0.5	('B3', 'D4', 'G4', 'D5')
4	2.5	13.5	0.5	('B-3', 'C4', 'E4', 'G4', 'C5', 'E5')
4	3.0	14.0	0.5	('A-3', 'C4', 'F4', 'A-4', 'C5', 'F5')
4	3.5	14.5	0.5	('A-5',)
4	4.0	15.0	0.125	('B-1', 'B-2', 'A-5')
4	4.125	15.125	1/24	('B-1', 'B-2', 'G5')
4	25/6	91/6	1/24	('B-1', 'B-2', 'A-5')
4	101/24	365/24	1/24	('B-1', 'B-2', 'B-5')
4	4.25	15.25	1/24	('B-1', 'B-2', 'A-5')
4	103/24	367/24	1/24	('B-1', 'B-2', 'G5')
4	13/3	46/3	1/24	('B-1', 'B-2', 'F5')
4	4.375	15.375	0.0625	('B-1', 'B-2', 'E-5')
4	4.4375	15.4375	0.0625	('B-1', 'B-2', 'D5')
4	4.5	15.5	0.0625	('B-1', 'B-2', 'C5')
4	4.5625	15.5625	0.0625	('B-1', 'B-2', 'B-4')
4	4.625	15.625	1/24	('B-1', 'B-2', 'A-4')
4	14/3	47/3	1/24	('B-1', 'B-2', 'G4')
4	113/24	377/24	1/24	('B-1', 'B-2', 'F4')
4	4.75	15.75	1/24	('B-1', 'B-2', 'E-4')
4	115/24	379/24	1/24	('B-1', 'B-2', 'D4')
4	29/6	95/6	1/24	('B-1', 'B-2', 'F4')
4	4.875	15.875	1/24	('B-1', 'B-2', 'A-4')
4	59/12	191/12	1/24	('B-1', 'B-2', 'F4')
4	119/24	383/24	1/24	('B-1', 'B-2', 'D4')
5	1.0	16.0	0.25	('E-2', 'E-3', 'E-4')
5	1.25	16.25	0.25	('E-3', 'G3', 'B-3', 'E-4')
5	1.5	16.5	0.25	('E-3', 'G3', 'B-3', 'E-4', 'E-5')
5	1.75	16.75	0.25	('E-3', 'G3', 'B-3', 'E-4', 'E-5')
5	2.0	17.0	0.25	('E-3', 'G3', 'B-3', 'E-4', 'E-5')
5	2.25	17.25	0.125	('E-3', 'G3', 'B-3', 'E-4', 'E-5')
5	2.375	17.375	0.125	('E-3', 'G3', 'B-3', 'E-4', 'E-5')
5	2.5	17.5	0.25	('E-3', 'G3', 'B-3', 'F4', 'F5')
5	2.75	17.75	0.125	('E-3', 'G3', 'B-3', 'F4', 'F5')
5	2.875	17.875	0.125	('E-3', 'G3', 'B-3', 'G4', 'G5')
5	3.0	18.0	0.25	('E-3', 'A-3', 'C4', 'G4', 'G5')
5	3.25	18.25	0.25	('E-3', 'A-3', 'C4', 'G4', 'G5')
5	3.5	18.5	0.25	('E-3', 'A-3', 'C4', 'F4', 'F5')
5	3.75	18.75	0.125	('E-3', 'A-3', 'C4')
5	3.875	18.875	0.125	('E-3', 'A-3', 'C4', 'F4')
5	4.0	19.0	0.25	('D2', 'D3', 'F3', 'A-3', 'B3', 'F4')
5	4.25	19.25	0.125	('D2', 'D3', 'F3', 'A-3', 'B3', 'F4')
