measure_number	beat	offset	duration	notes
1	1.0	0.0	1.5	('A-2', 'E-3', 'A-4', 'C5')
1	2.5	1.5	0.5	('C3', 'E-3', 'E-4', 'A-4')
1	3.0	2.0	0.75	('C3', 'E-3', 'E-4', 'A-4')
1	3.75	2.75	0.25	('C3', 'E-3', 'E-4', 'A-4')
2	1.0	3.0	1.0	('B-2', 'E-3', 'G4', 'D-5')
2	2.0	4.0	2.0	('D-3', 'E-3', 'G4', 'B-4')
3	1.0	6.0	0.5	('C3', 'E-3', 'A-4', 'E-5')
3	1.5	6.5	0.5	('C3', 'A-3', 'A-4', 'E-5')
3	2.0	7.0	0.5	('C3', 'C4', 'A-4', 'E-5')
3	2.5	7.5	0.5	('F3', 'B-3', 'A-4', 'D-5')
3	3.0	8.0	0.5	('E-3', 'C4', 'A-4', 'E-5')
3	3.5	8.5	0.5	('D-3', 'D-4', 'A-4', 'F5')
4	1.0	9.0	0.75	('E-3', 'B-3', 'G4', 'E-5')
4	1.75	9.75	0.25	('E-3', 'B-3', 'G4', 'D5')
4	2.0	10.0	0.5	('E-3', 'B-3', 'G4', 'D-5')
4	2.5	10.5	0.125	('D-5',)
4	2.625	10.625	0.125	('C5',)
4	2.75	10.75	0.125	('D-5',)
4	2.875	10.875	0.125	('E-5',)
4	3.0	11.0	0.5	('D-5', 'E-5', 'F5')
4	3.5	11.5	0.25	('E-5',)
4	3.75	11.75	0.25	('D-5',)
5	1.0	12.0	0.25	('A-3', 'C5')
5	1.25	12.25	0.25	('C4', 'E-4', 'C5')
5	1.5	12.5	0.25	('C4', 'E-4', 'C5')
5	1.75	12.75	0.25	('C4', 'E-4', 'C5')
5	2.0	13.0	0.25	('A-3', 'C5')
5	2.25	13.25	0.25	('C4', 'E-4', 'C5')
5	2.5	13.5	0.25	('C4', 'E-4', 'E-5')
5	2.75	13.75	0.25	('C4', 'E-4', 'E-5')
5	3.0	14.0	0.25	('A-3', 'E-5')
5	3.25	14.25	0.25	('C4', 'E-4', 'E-5')
5	3.5	14.5	0.25	('C4', 'E-4', 'A-5')
5	3.75	14.75	0.25	('C4', 'E-4', 'A-5')
6	1.0	15.0	0.25	('B-3', 'A-5')
6	1.25	15.25	0.25	('D-4', 'E-4', 'A-5')
6	1.5	15.5	0.25	('D-4', 'E-4', 'A-5')
6	1.75	15.75	0.25	('D-4', 'E-4', 'A-5')
6	2.0	16.0	0.25	('B-3', 'G5')
6	2.25	16.25	0.25	('D-4', 'E-4', 'G5')
6	2.5	16.5	0.25	('D-4', 'E-4', 'G5')
6	2.75	16.75	0.25	('D-4', 'E-4', 'G5')
6	3.0	17.0	0.25	('B-3', 'G5')
6	3.25	17.25	0.25	('D-4', 'E-4', 'G5')
6	3.5	17.5	0.25	('D-4', 'E-4', 'G5')
6	3.75	17.75	0.25	('D-4', 'E-4', 'G5')
7	1.0	18.0	0.25	('D-4', 'B-5')
7	1.25	18.25	0.25	('E-4', 'G4', 'B-4', 'B-5')
7	1.5	18.5	0.25	('E-4', 'G4', 'B-4', 'B-5')
7	1.75	18.75	0.25	('E-4', 'G4', 'B-4', 'B-5')
7	2.0	19.0	0.25	('D-4', 'B-5')
7	2.25	19.25	0.25	('E-4', 'G4', 'B-4', 'B-5')
7	2.5	19.5	0.25	('E-4', 'G4', 'B-4', 'G5')
7	2.75	19.75	0.25	('E-4', 'G4', 'B-4', 'G5')
